library_item_id,title,posted_date,url,operation_scope,review_status,relevance_status,duplicate_of,notes
MGB-SAFETY-TOPIC-0001,Sideswipes,08/04/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SIDESWIPEVSM80326-ENG.ashx,DRIVER_COLLISION_PREVENTION,FULLY_REVIEWED,HIGH_RELEVANCE,,Linked to SRC-MGB-DOC-0038; all seven pages visually reviewed from complete page-addressed authenticated viewer renders. Current stop-on-red and sideswipe-prevention guidance extracted; original PDF bytes remain a recapture target.
MGB-SAFETY-TOPIC-0002,Summer driving,07/28/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SUMMER-DRIVINGVSM072726ENGFINAL.ashx,DRIVER_SUMMER_SAFETY,FULLY_REVIEWED,HIGH_RELEVANCE,,Linked to SRC-MGB-DOC-0039; all seven pages visually reviewed from complete page-addressed authenticated viewer renders. Four action branches extracted; original PDF bytes remain a recapture target.
MGB-SAFETY-TOPIC-0003,Changing lanes,07/21/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/CHANGING-LANESVSM072026ENGFINAL.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
MGB-SAFETY-TOPIC-0004,Aggressive driving,07/13/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/AGGRESSIVE-DRIVINGVSM071326ENG.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
MGB-SAFETY-TOPIC-0005,Speed | Ops Safe Driver Week,07/06/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SPEEDVSM070626-FINAL.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
MGB-SAFETY-TOPIC-0006,Summer holidays and traffic,06/29/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Summer-and-Holiday-Traffic-VSM-062926ENG.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
MGB-SAFETY-TOPIC-0007,Summer adverse weather,06/22/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SUMMER-ADVERSE-WEATHERVSM62226ENG.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
MGB-SAFETY-TOPIC-0008,Work zone awareness,06/15/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Work-Zone-AwarenessVSM061526ENFINAL.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
MGB-SAFETY-TOPIC-0009,Cognitive distraction,06/08/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/COGNITIVE-DISTRACTION-VSM-060925ENG.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
MGB-SAFETY-TOPIC-0010,Summer and seat belts,06/01/2026,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Summer-SafetySeat-BeltsVSM060126FINAL.ashx,PENDING_CLASSIFICATION,NOT_YET_REVIEWED,PENDING_ASSESSMENT,,Inventoried from fully expanded authenticated Safety Topic Library.
