priority,confirmation_lane,knowledge_id,canonical_situation,existing_source_ids,existing_source_date_or_version,existing_evidence_locators,resolution_type,controlling_update_needed,human_owner_class,exact_confirmation_request,required_evidence_elements,current_safe_boundary,backlog_ids,acquisition_queue_resource_ids,publication_gate
1,SAFETY_AND_CURRENT_POLICY,KNO-FORGE-DEVICE-ROAD-001,Using a FORGE device while the vehicle is on the road,SRC-GDRIVE-FILE-0009,"FORGE 1.0.0 Quick Start Guide, 2023",SRC-GDRIVE-FILE-0009: FORGE Quick Start Guide page 1,CURRENT_VERSION_CONFIRMATION,Current exact device-use safety wording and interpretation of while on road. The reviewed SRS/SRI page contains business safety indicators but no device-use procedure.,FORGE_PRODUCT_AND_SAFETY_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_AND_SAFETY_OWNER for: Using a FORGE device while the vehicle is on the road. Confirm this exact requirement: Current exact device-use safety wording and interpretation of while on road. The reviewed SRS/SRI page contains business safety indicators but no device-use procedure.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.",Do not use FORGE while driving or maneuvering. Stop in a safe legal place and secure the vehicle first. This wording comes from an older 2023 guide and must be checked against current company and legal requirements before production publication.,REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
2,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-STANDARD-DELIVERY-001,Closing a listed multi-package business delivery in FORGE,SRC-GDRIVE-FILE-0008,"FORGE P&D Application Guide 3.00 / FORGE 2.8.0, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE P&D Application Guide 3.00 pages 28-32,CURRENT_VERSION_CONFIRMATION,Current routine multi-package delivery close sequence and signature/name requirements.,FORGE_PRODUCT_AND_P_AND_D_OPERATIONS_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_AND_P_AND_D_OPERATIONS_OWNER for: Closing a listed multi-package business delivery in FORGE. Confirm this exact requirement: Current routine multi-package delivery close sequence and signature/name requirements.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","The April 2025 FORGE 2.8.0 guide says to verify the listed stop, scan every package being delivered, review the stop summary, complete the required signature/name prompts, close the stop, and verify sync. Confirm the current version and use the separate branch for any special-service or missing package.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
3,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-STANDARD-PICKUP-001,Closing a listed multi-package pickup in FORGE,SRC-GDRIVE-FILE-0008,"FORGE P&D Application Guide 3.00 / FORGE 2.8.0, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE P&D Application Guide 3.00 pages 33-39,CURRENT_VERSION_CONFIRMATION,Current routine listed-pickup scan/count/threshold/close sequence.,FORGE_PRODUCT_AND_PICKUP_OPERATIONS_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_AND_PICKUP_OPERATIONS_OWNER for: Closing a listed multi-package pickup in FORGE. Confirm this exact requirement: Current routine listed-pickup scan/count/threshold/close sequence.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","The April 2025 FORGE 2.8.0 guide says to verify the listed pickup, scan every accepted package, confirm any listing match, reconcile the package count, close the stop, and verify sync. Confirm the current version and use the separate exception path for zero, unlisted, restricted, or mismatched pickups.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
4,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-DOWNLOAD-SYNC-001,"Pickup listing or delivery manifest did not download, or manifest needs refresh before service",SRC-GDRIVE-FILE-0008;SRC-MGB-DOC-0042,"FORGE Download Pickup List 2.2.0, 2025-06-10; FORGE 2.8.0 Application Guide, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide pages 197-201; SRC-MGB-DOC-0042: FORGE Download Pickup List 2.2.0 page 1,CURRENT_VERSION_CONFIRMATION,"Current pickup-listing/manifest download, refresh, outage, and safe service boundaries.",FORGE_PRODUCT_OWNER,"Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Pickup listing or delivery manifest did not download, or manifest needs refresh before service. Confirm this exact requirement: Current pickup-listing/manifest download, refresh, outage, and safe service boundaries.","Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","For a missing pickup list, the current guide says you need cellular service and the Download Pickup List option appears only when no list was received during login. Open it from the Stop List menu, run the request, and select OK to return to the downloaded list. If Ground says the list contains no stops, try again later. The separate Download Manifest and Refresh Manifest steps are still version-sensitive; if those screens differ or expected work is missing, contact management/station rather than assuming there is no work.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
5,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-SYNC-QUEUE-001,Closed FORGE stops have not uploaded because the device was out of network coverage,SRC-GDRIVE-FILE-0008,"FORGE 2.8.0 guide, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 232,CURRENT_VERSION_CONFIRMATION,"Current sync-status symbols, manual upload controls, retry behavior, and duplicate-event safeguards.",FORGE_PRODUCT_OWNER,"Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Closed FORGE stops have not uploaded because the device was out of network coverage. Confirm this exact requirement: Current sync-status symbols, manual upload controls, retry behavior, and duplicate-event safeguards.","Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","FORGE 2.8.0 documents this Sync Status workflow; confirm the current screen if it differs. A closed stop may still be queued out of coverage. Compare closed versus uploaded counts; when cellular service safely returns, allow queued transmission and manually trigger failed uploads only if the current app supports it. Recheck and escalate any remaining mismatch.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
6,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-SPLIT-DELIVERY-001,Only some packages at a delivery stop can be closed now,SRC-GDRIVE-FILE-0008,"FORGE 2.8.0 guide, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide pages 146-150,CURRENT_VERSION_CONFIRMATION,Current split/partial-close UI behavior and documentation requirements.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Only some packages at a delivery stop can be closed now. Confirm this exact requirement: Current split/partial-close UI behavior and documentation requirements.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","FORGE 2.8.0 documents this workflow; confirm the current screen if it differs. Scan and close only the packages receiving the first outcome. Confirm FORGE creates a new open stop containing every unscanned package, then handle those packages later under their actual outcome. Never let the first close apply to packages you did not scan or leave the new open stop unresolved.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
7,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-COMBINE-DELIVERY-001,Scanning packages from separate delivery stops causes FORGE to verify or combine the address,SRC-GDRIVE-FILE-0008,"FORGE 2.8.0 guide, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide pages 143-145,CURRENT_VERSION_CONFIRMATION,Current combine-address UI behavior and operational authorization boundaries.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Scanning packages from separate delivery stops causes FORGE to verify or combine the address. Confirm this exact requirement: Current combine-address UI behavior and operational authorization boundaries.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.",FORGE 2.8.0 documents this workflow; confirm the current screen if it differs. A Verify Address prompt does not authorize a redirect. Compare both labels and service points. Combine only if the packages truly share the same approved delivery point and do not require separate signatures/stops. Do not enter a new address without an authoritative correction; contact management/station if the addresses differ.,REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
8,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-MERGE-PICKUP-001,Linking a zero-package or unlisted pickup to an existing listed pickup,SRC-GDRIVE-FILE-0008,"FORGE 2.8.0 guide, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide pages 156-169,CURRENT_VERSION_CONFIRMATION,Current revisit/merge and unlisted-to-listed pickup assignment behavior.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Linking a zero-package or unlisted pickup to an existing listed pickup. Confirm this exact requirement: Current revisit/merge and unlisted-to-listed pickup assignment behavior.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","FORGE 2.8.0 documents these revisit/assignment paths; confirm the current screen if it differs. First confirm both activities belong to the same customer/address and pickup ID. For a later zero-package visit, use Revisit (Zero Pkg) with the truthful reason. For unlisted packages, assign the correct listed pickup ID. Verify separate entries retain the correct counts/reason—never attach an unrelated pickup just to reconcile it.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
9,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-COMMENT-SCOPE-001,Choosing a package comment or stop comment in FORGE,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014,"FORGE 2.8.0 guide, 2025-04-01; OP-117 v2, 2025-12-15",SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 170; SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 171; SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 172; SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 173; SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 174; SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 175; SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 176; SRC-GDRIVE-FILE-0008: FORGE 2.8.0 Application Guide page 177; SRC-GDRIVE-FILE-0014: OP-117 page 46,CURRENT_VERSION_CONFIRMATION,Current package-versus-stop comment behavior and supported operational use.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Choosing a package comment or stop comment in FORGE. Confirm this exact requirement: Current package-versus-stop comment behavior and supported operational use.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.","Ready Route cannot confirm the current Stop Comment UI from OP-117 alone. In FORGE 2.8.0, use a Package Comment for one specific package and add it separately to each affected package; use a Stop Comment only for a remark applying to the whole stop. Current OP-117 confirms Other > Package Comment for delivery-time damage reasons. If the Stop Comment controls differ, verify the current FORGE version or obtain current support direction.",REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
10,MAINSTREAM_SERVICE_AND_DATA_INTEGRITY,KNO-FORGE-MULTICODE-001,Choosing which barcode to scan on a FedEx multicode package label,SRC-GDRIVE-FILE-0008,"FORGE P&D Application Guide 3.00 / FORGE 2.8.0, 2025-04-01",SRC-GDRIVE-FILE-0008: FORGE P&D Application Guide 3.00 page 5,CURRENT_VERSION_CONFIRMATION,Current supported multicode label formats and barcode-selection behavior.,FORGE_PRODUCT_OWNER,Obtain the current controlling source or an explicit determination from FORGE_PRODUCT_OWNER for: Choosing which barcode to scan on a FedEx multicode package label. Confirm this exact requirement: Current supported multicode label formats and barcode-selection behavior.,"Preserve the authorized source bytes or durable capture; source title, version/build, effective date, geography, role/device scope, and exact pages/screens; compare every existing retained behavior as unchanged, changed, removed, or not addressed; record conditions, exceptions, operational-authority boundaries, and the named owner/date for any explicit determination. A current-looking screen, filename, recollection, or date alone does not establish the controlling version.",The April 2025 FORGE 2.8.0 guide says to scan only one supported barcode per package. Confirm the current FORGE version and contact support if the label format is not recognized.,REFSRC-022,,QUALIFY_UNTIL_CURRENT_VERSION_CONFIRMED
