artifact_id,artifact_name,official_identifiers,artifact_family,driver_use_or_effect,source_ids,backlog_ids,knowledge_ids,artifact_access,procedure_coverage,publication_gate,coverage_limit,required_follow_up
ART-DEL-001,Shipment Status Door Tag OP-200/OP-200SP,OP-200;OP-200SP,DELIVERY_ATTEMPT_FORM,"Links an attempted or eligible indirect delivery to customer notice, tracking, and proof-of-attempt documentation.",SRC-GDRIVE-FILE-0001;SRC-GDRIVE-FILE-0014,REFSRC-016,KNO-DEL-DOORTAG-001;KNO-DEL-SIG-ISR-001,DESCRIBED_BUT_NOT_ACQUIRED,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"Current guides establish use and placement, but the current physical form variants are not archived or compared.",Acquire current OP-200 and OP-200SP and verify whether their fields and effects differ.
ART-DEL-002,Recipient Release Authorization OP-201,OP-201,DELIVERY_RELEASE_AUTHORIZATION,Controls ordinary commercial recipient-release eligibility and related signature or photo handling.,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0010;SRC-MGB-PAGE-0011,REFSRC-001;REFSRC-017,KNO-DEL-BUS-OP201-001;KNO-DEL-SHIPPER-RELEASE-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,HUMAN_REVIEW_REQUIRED,"The current form and controlling agreement are missing, and reviewed sources conflict on release without OP-201.",Acquire the current OP-201 plus the executed ISP Agreement and resolve the controlling release branch.
ART-DEL-003,Signature Release Card OP-206,OP-206,DELIVERY_SIGNATURE_FORM,Captures a manual delivery signature for one date when technology fails or the customer prefers the card.,SRC-GDRIVE-FILE-0014,REFSRC-018,KNO-DEL-OP206-001,DESCRIBED_BUT_NOT_ACQUIRED,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"OP-117 establishes the workflow, but the current card layout and instructions are not acquired.",Acquire the current OP-206 and compare its fields and revision to OP-117.
ART-DEL-004,"Shipment Release Authorization (paper, barcoded, non-barcoded, or digital)",,DELIVERY_RELEASE_AUTHORIZATION,Authorizes an eligible ISR release through the form-specific FORGE path.,SRC-GDRIVE-FILE-0014,,KNO-DEL-SRA-001;KNO-DEL-SIG-ISR-001,GENERIC_DOCUMENT_TYPE_ONLY,COMPLETE_PROCEDURE_MODELED,VERIFIED_PROCEDURE_WITH_ARTIFACT_GAP,"Current OP-117 describes all branches, but no separate current sample form is archived.",Acquire representative current paper variants and verify barcode/form recognition without changing the source-established workflow.
ART-DEL-005,FXO GHAL Send to QA Label OP-406,OP-406,PACKAGE_DISPOSITION_LABEL,Marks a post-close FedEx Office HAL refusal for pickup and QA return.,SRC-GDRIVE-FILE-0014,REFSRC-019,KNO-DEL-HAL-UNABLE-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,HUMAN_REVIEW_REQUIRED,"The after-close branch is described, but the label and exact QA-return instructions are absent.","Acquire current OP-406 and verify who completes, affixes, and receives it."
ART-DOC-001,Delivery Record OP-207 (possible driver-shorthand 'Blue Sheet'),OP-207,MANUAL_DELIVERY_SHEETING,Provides manual delivery sheeting during the OP-117 HAL outage contingency.,SRC-GDRIVE-FILE-0011;SRC-GDRIVE-FILE-0012;SRC-GDRIVE-FILE-0014,REFSRC-004,KNO-DOC-HANDSHEET-001;KNO-DEL-HAL-DELIVERY-001,PHOTOGRAPHED_EXAMPLE_IDENTITY_UNRESOLVED,PARTIAL_PROCEDURE_MODELED,HUMAN_REVIEW_REQUIRED,No reviewed source explicitly calls the photographed sheet a Blue Sheet or proves that it is the current OP-207; the images lack publication identity/revision.,"Acquire the current OP-207, cover/flap instructions, and station-approved outage procedure; verify the colloquial name separately."
ART-DOC-002,Delivery Manifest Record OP-207Res,OP-207RES,MANUAL_DELIVERY_SHEETING,Provides manual manifest sheeting during the OP-117 HAL outage contingency.,SRC-GDRIVE-FILE-0014,REFSRC-005,KNO-DOC-HANDSHEET-001;KNO-DEL-HAL-DELIVERY-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,HUMAN_REVIEW_REQUIRED,"OP-117 names the form but the current record, cover, flap examples, and complete fields are absent.",Acquire the current OP-207Res and its complete instructions.
ART-DOC-003,OP-117 local Contact Information table,,LOCAL_CONTACT_REFERENCE,"Provides fill-in fields for service-provider business contacts, authorized officers, the station, alternate numbers, and other locally selected contacts.",SRC-GDRIVE-FILE-0014,,KNO-INC-ACCIDENT-SCENE-001;KNO-SEC-INCIDENT-REPORT-001;KNO-HAZ-LEAK-001,CURRENT_ARTIFACT_REVIEWED,REFERENCE_ONLY,LOCAL_CONFIGURATION_REQUIRED,"OP-117 page 89 supplies blank contact fields, not the service provider's or station's actual current contact information.","Populate and maintain current local contacts through an authorized local configuration; do not publish invented, stale, or private contact details in the shared corpus."
ART-DOC-004,FORGE Alternate Signature physical signature record sheet,,MANUAL_SIGNATURE_RECORD,Provides the line number and physical signature record referenced by the demonstrated FORGE Alternate Signature workflow.,SRC-GDRIVE-FILE-0008,REFSRC-034,KNO-DEL-ALT-SIGNATURE-001,DESCRIBED_BUT_NOT_ACQUIRED,PARTIAL_PROCEDURE_MODELED,HUMAN_REVIEW_REQUIRED,"The guide shows selection of a line number from a carried physical signature record but does not identify the current form, full fields, eligibility, custody, or submission rules.","Acquire the current official record sheet and instructions; reconcile it with OP-200, ISR/SRA, and OP-207/OP-207Res without assuming they are the same artifact."
ART-DRV-001,Medical examiner certificate/card and qualification records,,DRIVER_COMPLIANCE_RECORD,Supports driver-fitness and vehicle-operation eligibility checks at login or roadside inspection.,SRC-GDRIVE-FILE-0008;SRC-MGB-PAGE-0014,REFSRC-011;REFSRC-028,KNO-FORGE-LOGIN-WARNING-001;KNO-QUAL-L10-ACTIVATION-001,GENERIC_DOCUMENT_TYPE_ONLY,PARTIAL_PROCEDURE_MODELED,COMPLIANCE_REVIEW_REQUIRED,The corpus identifies warning/document categories but not every current driver/vehicle/jurisdiction requirement.,Acquire current qualification forms and applicable regulatory guidance; do not treat a FORGE Continue button as compliance proof.
