occurrence_id,backlog_id,reference_identity,origin_source_id,origin_source_title,exact_locator,reference_basis,acquisition_status,review_status
REFSRC-OCC-0001,REFSRC-001,Executed ISP Agreement and controlling schedules/attachments,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 1 and 6,Agreement controls conflicts and negotiated obligations; sample agreement cannot substitute.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0002,REFSRC-001,Executed ISP Agreement and controlling schedules/attachments,SRC-MGB-PAGE-0009,ISP Agreement,Complete visible ISP Agreement page — sample-version links and executed-agreement limitation,Agreement controls conflicts and negotiated obligations; sample agreement cannot substitute.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0003,REFSRC-002,OP-324,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 39,Required for complete current delivery-status definitions and conditions.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0004,REFSRC-003,OP-321,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 51,Required for complete current pickup-reason definitions and conditions.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0005,REFSRC-004,OP-207,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 44 and 47,Required for current manual delivery sheeting and outage fields.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0006,REFSRC-005,OP-207Res,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 44,Required for current manual manifest sheeting and cover/flap instructions.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0007,REFSRC-006,HZ-035,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,"OP-117 v2 pages 72, 78, and 81","Required for current hazmat acceptance, loading, paperwork, and exception corroboration.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0008,REFSRC-006,HZ-035,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,"Hazmat acceptance, loading, paperwork, and reference-material sections","Required for current hazmat acceptance, loading, paperwork, and exception corroboration.",NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0009,REFSRC-007,SF-920P,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,"OP-117 v2 pages 71, 77, and 81",Current guide is hosted in MyBizAccount and is required for safety/hazmat completeness.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0010,REFSRC-007,SF-920P,SRC-MGB-PAGE-0002,Transporting Hazardous Materials,Hazmat reference-material and Safety Information Guide sections,Current guide is hosted in MyBizAccount and is required for safety/hazmat completeness.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0011,REFSRC-007,SF-920P,SRC-MGB-PAGE-0003,Safety Information Guide,Complete visible Safety Information Guide landing page,Current guide is hosted in MyBizAccount and is required for safety/hazmat completeness.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0012,REFSRC-008,Check-Out/Check-In for Relay Operations instructions,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 pages 77 and 81,Referenced relay procedure is absent; taxonomy retains a sourced coverage exception.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0013,REFSRC-009,Current detailed vehicle-security and anti-theft standards,SRC-GDRIVE-FILE-0014,On the Road Reference GuideOP117MGB121525v2.pdf,OP-117 v2 page 84,Current pages reference more detailed equipment/security materials not yet acquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
REFSRC-OCC-0014,REFSRC-009,Current detailed vehicle-security and anti-theft standards,SRC-MGB-PAGE-0007,Security,Vehicle and package security sections and linked-resource identities,Current pages reference more detailed equipment/security materials not yet acquired.,NOT_ACQUIRED,NOT_YET_REVIEWED
