knowledge_id,canonical_situation,archive_status,primary_category,recovery_disposition,source_availability,archive_source_ids,related_knowledge_ids
KNO-COMMS-MEDIA-001,"Customer, bystander, or reporter requests recording or a public comment connected to FedEx",SOURCE_VERIFIED,TAX-PUBLIC-COMMUNICATION,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0002;SRC-GDRIVE-FILE-0014,
KNO-CX-APPEARANCE-001,Driver begins or continues route without required identification or appearance items,SOURCE_VERIFIED,TAX-APPEARANCE,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0002;SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0007,KNO-SEC-LOST-BADGE-001
KNO-DEL-ALCOHOL-001,Delivering an alcohol package,READY_ROUTE_APPROVED,TAX-DELIVERY,ALREADY_ACTIVE_V2,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,KNO-DEL-SIG-ASR-001
KNO-DEL-ALT-SIGNATURE-001,Using FORGE Alternate Signature with a recipient-signed door tag or physical signature record,PENDING_REVIEW,TAX-DELIVERY,HOLD_PENDING_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008,KNO-DEL-DOORTAG-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001;KNO-DOC-HANDSHEET-001
KNO-DEL-APT-001,Recipient unavailable at an accessible apartment unit with possible office or central receiving,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-DEL-DOORTAG-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001
KNO-DEL-ATTEMPT-LIMIT-001,Three unsuccessful delivery attempts have already been made,SOURCE_VERIFIED,TAX-DELIVERY,ALREADY_ACTIVE_V2,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002,KNO-DEL-DOORTAG-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-REFUSED-001
KNO-DEL-BARCODE-001,Delivery package has no usable normal barcode or only a 00 barcode,SOURCE_VERIFIED,TAX-FORGE,ALREADY_ACTIVE_V2,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,
KNO-DEL-BUS-CLOSED-001,Business is closed when the driver attempts an assigned delivery,READY_ROUTE_APPROVED,TAX-DELIVERY,ALREADY_ACTIVE_V2,ALL_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014,KNO-FORGE-BUSINESS-CLOSURE-MSG-001;KNO-DEL-BUS-OP201-001;KNO-DEL-SHIPPER-RELEASE-001;KNO-DEL-NOTATION-001;KNO-DEL-DOORTAG-001
KNO-DEL-BUS-OP201-001,Business delivery has no OP-201 release authorization on file,PENDING_REVIEW,TAX-DELIVERY,HOLD_PENDING_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0008;SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0010;SRC-MGB-PAGE-0011;SRC-GDRIVE-FILE-0001,
KNO-DEL-CLASSIFICATION-001,Choosing Residential or Commercial designation in FORGE,SOURCE_VERIFIED,TAX-DELIVERY,FUTURE_SELECTIVE_REVIEW,SOME_REFERENCED_SOURCES_REINTRODUCED,SRC-GDRIVE-FILE-0014;SRC-GDRIVE-FILE-0002;SRC-GDRIVE-FILE-0001,KNO-DEL-APT-001
