priority,review_lane,knowledge_id,canonical_situation,research_status,resolution_type,human_owner_class,exact_question,required_answer_elements,current_safe_boundary,backlog_ids,acquisition_queue_resource_ids,publication_gate
1,MAINSTREAM_P_AND_D,KNO-DEL-REFUSED-001,Recipient refuses an ordinary delivery package,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,FEDEX_P_AND_D_OPERATIONS_OWNER,"What is the current approved FedEx Ground procedure for: Recipient refuses an ordinary delivery package? Resolve this exact gap: Complete ordinary-refusal notation, door tag/photo, signature, custody, station-return, and final-disposition procedure.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. For an ordinary package that the recipient explicitly refuses, current OP-117 establishes Status Code 006. It does not establish the complete post-code documentation and final-disposition sequence. Contact management/station before final handling. Do not treat not-in as refusal or substitute the call-tag code 081 path.",REFSRC-029,MGB-NAV-0018,WITHHOLD_UNTIL_RESOLVED
2,MAINSTREAM_P_AND_D,KNO-FORGE-EOD-001,Completing FORGE End of Day after route service,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,FORGE_PRODUCT_AND_COMPLIANCE_OWNER,"What is the current approved FedEx Ground procedure for: Completing FORGE End of Day after route service? Resolve this exact gap: Current EOD vehicle closure, defects, times, DVIR/HOS records, unresolved-stop handling, and logout requirements.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. At EOD, you may use Delivery Reconciliation for manifested undelivered packages: scan them, apply the true status, and SAVE—leaving without saving loses those scans. Unmanifested or already-closed packages cannot be reconciled there. Then verify the correct vehicle, enter actual odometer/defect and return/off-duty information, review the summary, and log out. Contact management for any mismatch or unresolved package.",REFSRC-022,,WITHHOLD_UNTIL_RESOLVED
3,MAINSTREAM_P_AND_D,KNO-PUP-PACKAGING-001,"Pickup package appears damaged, poorly sealed, reused, or still displays old shipping labels",HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_P_AND_D_PICKUP_OPERATIONS_OWNER,"What is the current approved FedEx Ground procedure for: Pickup package appears damaged, poorly sealed, reused, or still displays old shipping labels? Resolve this exact gap: Current driver acceptance/refusal authority and escalation/documentation procedure for non-hazmat packaging defects.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. OP-117 expects sturdy corrugated cardboard in new or like-new condition, no holes, tears, dents, creases, or crushed corners, old labels/barcodes covered, and every flap, seam, and edge securely sealed with tape at least two inches wide. It says pickup of nonconforming packages is not advisable, but does not give a universal refusal command. Get current station or management direction for the one-off disposition, and alert FedEx station staff if this is a recurring shipper problem.",REFSRC-037,,WITHHOLD_UNTIL_RESOLVED
4,MAINSTREAM_P_AND_D,KNO-PUP-INTERNATIONAL-DOCS-001,Picking up an international shipment and confirming required documents,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,FEDEX_INTERNATIONAL_PICKUP_OWNER,"What is the current approved FedEx Ground procedure for: Picking up an international shipment and confirming required documents? Resolve this exact gap: Current document set, country/service exceptions, custody, and refusal/escalation requirements for international pickups.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Scan every international package. If the label says ETD, the current FORGE prompt says physical customs documents are not required. Otherwise, attach the prompted customs documentation to one package in the shipment. For each package, answer truthfully whether you removed the commercial invoice or there is no commercial invoice. If anything is missing or unclear, contact management/station or CXPC—do not guess document correctness.",REFSRC-026,,WITHHOLD_UNTIL_RESOLVED
5,MAINSTREAM_P_AND_D,KNO-DEL-COD-MULTI-001,Delivering multiple Collect on Delivery packages at one stop,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,FEDEX_COD_PRODUCT_OWNER,"What is the current approved FedEx Ground procedure for: Delivering multiple Collect on Delivery packages at one stop? Resolve this exact gap: Current COD payment, amount discrepancy, check allocation/payee, refusal, custody, and closeout rules.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Treat each COD package separately: verify its amount, review the stop total, and complete that package’s COD screen and check number when applicable. Do not guess accepted payment types, payee rules, change, or what to do with refused payment—the reviewed guide does not establish them. Contact management/station for any mismatch or unsupported payment situation.",REFSRC-027,,WITHHOLD_UNTIL_RESOLVED
6,MAINSTREAM_P_AND_D,KNO-DEL-PHARMACY-001,Delivering packages designated for a pharmacy counter,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_HEALTHCARE_PRODUCT_OWNER,"What is the current approved FedEx Ground procedure for: Delivering packages designated for a pharmacy counter? Resolve this exact gap: Current pharmacy-counter eligibility, signer/ID/release, timing, custody, and unsuccessful-delivery procedure.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Keep PHAR packages in the Delivery column and take them directly to the pharmacy counter; FORGE does not allow transfer to a Hold at Location. Confirm whether each package is ASR or DSR and follow that signature branch—no driver release. If the counter or eligible signer is unavailable, contact management/station for the non-delivery disposition.",REFSRC-038,,WITHHOLD_UNTIL_RESOLVED
7,MAINSTREAM_P_AND_D,KNO-DEL-CRITICAL-HEALTH-001,Delivering a critical healthcare package,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_HEALTHCARE_PRODUCT_OWNER,"What is the current approved FedEx Ground procedure for: Delivering a critical healthcare package? Resolve this exact gap: Current critical-healthcare designation, timing, tracker, notification, release, custody, and exception procedure.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Treat it as a Critical Healthcare and Time Definite delivery. Complete the package’s normal signature requirements, remove and secure the SenseAware tag at delivery, and return the tag to station personnel. If timing, package condition, signer, or tag handling cannot be completed, contact management/station immediately.",REFSRC-039,,WITHHOLD_UNTIL_RESOLVED
8,MAINSTREAM_P_AND_D,KNO-FORGE-UNMANIFESTED-DELIVERY-001,Adding an unmanifested package as a new delivery stop in FORGE,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,What is the current approved FedEx Ground procedure for: Adding an unmanifested package as a new delivery stop in FORGE? Resolve this exact gap: Current authority to assign the package/work area and create or edit a delivery point before using the UI path.,"Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. The guide demonstrates adding a station-found package, but the screen does not authorize a new address or assignment. Verify the label, route/work-area assignment, and management/station authorization before creating the stop; otherwise stop and contact management.",REFSRC-022,,WITHHOLD_UNTIL_RESOLVED
9,MAINSTREAM_P_AND_D,KNO-FORGE-EDIT-ADDRESS-001,Shipping label address appears incorrect and FORGE offers Edit Address,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,What is the current approved FedEx Ground procedure for: Shipping label address appears incorrect and FORGE offers Edit Address? Resolve this exact gap: Controlling authority for changing a delivery point/address and current documentation/escalation requirements.,"Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. If only the ZIP was entered incorrectly after scanning, use Edit Address > ReEnter. If the label address is incorrect and the correct recipient address has already been established, the FORGE guide shows Stop Details > Stop Options > Edit Address, enter the correct address, ACCEPT, and verify the updated Stop Details. If the recipient is not at the label address, including a moved recipient, apply code 002 and return the package to the station. If the correct address has not already been established, stop and get current station or management direction.",REFSRC-022,,WITHHOLD_UNTIL_RESOLVED
10,MAINSTREAM_P_AND_D,KNO-FORGE-BULK-TRANSFER-001,Transferring unattempted delivery stops to another work area or vehicle,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,FEDEX_P_AND_D_OPERATIONS_AND_FORGE_OWNER,"What is the current approved FedEx Ground procedure for: Transferring unattempted delivery stops to another work area or vehicle? Resolve this exact gap: Current authorization, sender/receiver custody, work-area assignment, code-079, and completion procedure.","Identify the authorized responder/owner role, answer date, applicable geography, source or policy version/effective date, material conditions and exceptions, ordered driver steps, required codes/forms/documentation, prohibited actions, escalation, and any part that remains unresolved. A title, recollection, or likely practice alone is insufficient.","Ready Route cannot establish the complete approved procedure from the supplied sources. Get the confirmed destination and stop list from management/station. Transfer only unattempted stops, verify the selection, and confirm success on both devices. FORGE applies code 079 and closes the transferred stops on your device, but you must still reconcile the physical package handoff—application success alone is not proof.",REFSRC-022,,WITHHOLD_UNTIL_RESOLVED
