knowledge_id,knowledge_status,resolution_type,backlog_ids,acquisition_queue_resource_ids,required_evidence_or_decision,human_owner_class,publication_gate
KNO-DEL-BUS-OP201-001,CONFLICT,SOURCE_CONFLICT_ADJUDICATION,REFSRC-001;REFSRC-017,MGB-NAV-0068,"Controlling agreement/release instruction and written adjudication of the OP-117 versus FORGE release branch.",FEDEX_P_AND_D_OPERATIONS_AND_AGREEMENT_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-SEC-STOLEN-VEHICLE-001,CONFLICT,SOURCE_CONFLICT_ADJUDICATION,REFSRC-009,MGB-NAV-0068,"Written controlling assignment and order for law-enforcement, station/hub, GSOC, and security notifications.",FEDEX_SECURITY_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-VEHICLE-CHANGE-001,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,REFSRC-022,,"Current FORGE vehicle-change sequence plus complete DVIR/manual-record and closeout obligations for every vehicle used.",FORGE_PRODUCT_AND_VEHICLE_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DOT-ROADSIDE-REPORT-001,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,,MGB-NAV-0068,"Current report-delivery deadline, recipient, retention, and jurisdiction/compliance obligations after a roadside inspection.",FEDEX_DOT_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-DEL-TOBACCO-001,HUMAN_REVIEW_REQUIRED,POLICY_AUTHORITY_CONFIRMATION,REFSRC-036,,"Current controlling tobacco/e-cigarette prohibition and any authorized commercial exception scope.",FEDEX_P_AND_D_PRODUCT_AND_LEGAL_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-HAZ-ACCEPTANCE-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-006;REFSRC-007;REFSRC-014;REFSRC-015;REFSRC-032;REFSRC-033,,"Current hazmat acceptance matrix, required artifacts, prohibited-label reference, and SF-035/HZ-035/SF-034 reconciliation.",FEDEX_HAZARDOUS_MATERIALS_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-HAZ-LOAD-PAPERS-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-006;REFSRC-007;REFSRC-031,,"Current paperwork/guidebook placement, custody, vehicle-exit, delivery, return, and emergency-reference requirements.",FEDEX_HAZARDOUS_MATERIALS_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-QUAL-L10-ACTIVATION-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-028,MGB-NAV-0029;MGB-NAV-0030;MGB-NAV-0033;MGB-NAV-0070,"Complete current qualification forms, decision gates, First Advantage documentation, and activation authority. The reviewed P&D road-test page resolves its narrow test gate but not full activation.",FEDEX_QUALIFICATION_CERTIFICATION_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-FORGE-MANIFEST-PREVIEW-001,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,REFSRC-022,,"Current misload/missing-package handling and assignment authority beyond the predispatch display capability.",FORGE_PRODUCT_AND_STATION_OPERATIONS_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-HOS-RENTAL-ELD-001,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,REFSRC-011,MGB-NAV-0068,"Current ELD applicability, rental exception criteria, documentation, and jurisdiction-specific compliance review. The reviewed Alternative Vehicle page does not establish this rental/HOS branch.",FEDEX_DOT_HOS_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-LH-COUPLING-BASIC-001,HUMAN_REVIEW_REQUIRED,CONTROLLING_SOURCE_ACQUISITION,REFSRC-021,,"Manufacturer/equipment-specific fifth-wheel and pintle-hook instructions plus current authorization/training requirements. The reviewed dock-pull page is a distinct readiness procedure and does not supply coupling instructions.",FEDEX_LINEHAUL_SAFETY_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-VEH-RENTAL-PREP-001,HUMAN_REVIEW_REQUIRED,CURRENT_PROCEDURE_AND_AUTHORITY,,MGB-NAV-0047,"Current rental-vehicle preparation, identification, inspection, documentation, and equipment requirements. The reviewed Alternative Vehicle page is a distinct personal/passenger-vehicle program and does not resolve rental-vehicle procedure.",FEDEX_VEHICLE_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
KNO-VEH-ANNUAL-INSPECTION-001,HUMAN_REVIEW_REQUIRED,LEGAL_COMPLIANCE_REVIEW,,MGB-NAV-0068,"Current inspection form, correction, record-custody, jurisdiction, and vehicle-removal/return-to-service requirements.",FEDEX_VEHICLE_COMPLIANCE_OWNER,WITHHOLD_UNTIL_RESOLVED
