queue_order,resource_type,resource_id,title,url,capture_wave,priority_basis,related_gap_ids,candidate_comparison_source_ids,affected_nonverified_knowledge_ids,affected_current_evidence_knowledge_ids,affected_taxonomy_ids,work_state,state_basis,capture_action,completion_gate
1,PARTIAL_SOURCE_DOCUMENT,SRC-MGB-DOC-0009,Sample 2026 ISP Agreement,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Agreement/General-agreement-information/ISP-Agreement/2026-ISP-Combined-Sample.ashx,WAVE_0_PARTIAL_SOURCE_COMPLETION,PRIMARY_SOURCE_REVIEW_ALREADY_STARTED; complete the unseen scope before lower-completion resources; existing review limits remain controlling and unseen content is not inferred,,,,,,PARTIAL_REVIEW_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=PARTIALLY_REVIEWED,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_AND_COMPLETE_UNREVIEWED_PAGES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_SOURCE_STATUS_FULLY_REVIEWED_AND_NEW_REFERENCES_INVENTORIED
2,PARTIAL_SOURCE_PAGE,SRC-MGB-ROOT-0001,MyGroundBiz Home,https://www.mygroundbiz.com/#,WAVE_0_PARTIAL_SOURCE_COMPLETION,PRIMARY_SOURCE_REVIEW_ALREADY_STARTED; complete the unseen scope before lower-completion resources; existing review limits remain controlling and unseen content is not inferred,,,,,,PARTIAL_REVIEW_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=PARTIALLY_REVIEWED,AUTHENTICATED_DURABLE_RECAPTURE_COMPLETE_PAGE_AND_INVENTORY_ALL_LINKED_RESOURCES,DURABLE_PAGE_CAPTURE_LINK_INVENTORY_SOURCE_STATUS_RECONCILED_AND_REVIEW_COMPLETE
3,PARTIAL_SOURCE_DOCUMENT,SRC-MGB-DOC-0046,FORGE 3.2.0 Application Support Guide,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/PD-Technology/FORGE/FORGE-320-Application-Support-Guide-FXGMGB52626.ashx,WAVE_0_PARTIAL_SOURCE_COMPLETION,PRIMARY_SOURCE_REVIEW_ALREADY_STARTED; complete the unseen scope before lower-completion resources; existing review limits remain controlling and unseen content is not inferred,,,,,,PARTIAL_REVIEW_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=PARTIALLY_REVIEWED,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_AND_COMPLETE_UNREVIEWED_PAGES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_SOURCE_STATUS_FULLY_REVIEWED_AND_NEW_REFERENCES_INVENTORIED
4,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0012,Pickup Familiarization Guide,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/CPC/2021-CPC/CPC-Familiarization-Guide-Oct-2021-Final.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
5,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0017,FedEx Customer Connection features,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/CPC/FedEx-Customer-Connection-Flyer-Final.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
6,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0018,Opportunities to Contact CXPC,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/CPC/2021-CPC/CPC-Pickup-Slides-Final-Feb-2021.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
7,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0019,Growing Business through Sales Leads,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/CPC/CPC-Sales-Leads-Flyer-Final.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
8,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0021,Single/Multiple-Stop Scenarios chart — U.S.,https://www.mygroundbiz.com/-/media/FXGMGB/docs/News-articles/2021/20FL088-Stop-Type-Chart-US.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
9,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0022,CXPC Facts Template 2024,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Operations/CPC/CXPC-Facts-Template_2024.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
10,UNREVIEWED_PRIMARY_DOCUMENT,SRC-MGB-DOC-0023,PetSmart master Ship-from-Store list,https://www.mygroundbiz.com/-/media/FXGMGB/docs/News-articles/PetSmart-master-store-list_MGB.ashx,WAVE_0_UNREVIEWED_PRIMARY_ACQUISITION,ACCESSIBLE_PRIMARY_SOURCE_IS_INVENTORIED_BUT_NOT_REVIEWED; acquire and completely review it before backlog-only documents; candidate cross-references are comparison targets and do not establish byte identity,,,,,,UNREVIEWED_PRIMARY_OPEN,SOURCE_INVENTORY_REVIEW_STATUS=NOT_YET_REVIEWED;ACCESS_STATUS=ACCESSIBLE;LOCAL_ARCHIVE_PATH=EMPTY,DOWNLOAD_ARCHIVE_HASH_RECORD_PAGE_COUNT_COMPLETE_REVIEW_AND_COMPARE_CANDIDATE_BYTES,LOCAL_ARCHIVE_CHECKSUM_ALL_PAGES_REVIEWED_REFERENCES_INVENTORIED_AND_CANDIDATE_IDENTITY_RECONCILED
