nav_id,title,url,site_section,backlog_status,source_inventory_status,next_action
MGB-NAV-0005,Qualified Driver Safety Training Program - Linehaul,https://www.mygroundbiz.com/en/safety/safety-resources/qualified-driver-safety-training-program,safety,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0012,TSPA Safety Technology Terms,https://www.mygroundbiz.com/en/safety/safety-technology/TSPA-Safety-Technology-Terms,safety,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0013,ISPA Safety Technology Terms,https://www.mygroundbiz.com/en/safety/safety-technology/ISPA-Safety-Technology-Terms,safety,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0014,Safety Technology Vendors,https://www.mygroundbiz.com/en/safety/safety-technology/safety-technology-vendors,safety,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0015,Linehaul Indemnification,https://www.mygroundbiz.com/en/safety/safety-technology/Linehaul-Indemnification,safety,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0018,Customer Service Case Automation,https://www.mygroundbiz.com/en/operations/pd/Customer-Service-Case-Automation,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0020,Peak Planning Resources,https://www.mygroundbiz.com/en/operations/pd-technology/peak-planning,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0021,FORGE: Scanner Specifications and Vendors,https://www.mygroundbiz.com/en/operations/pd-technology/star-scanner-specifications-and-vendors,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0023,P&D Scanner Specifications: Certified Devices for P&D Operations,https://www.mygroundbiz.com/en/operations/pd-technology/star-scanner-specifications-and-vendors/pd-scanner-specifications-for-devices-compatible-with-star-v,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0024,Route Navigation,https://www.mygroundbiz.com/en/operations/pd-technology/route-navigation---solutions-for-peak,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0025,Work Area Design Resources,https://www.mygroundbiz.com/en/operations/pd-technology/work-area-design-resources,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0026,Route Optimization Resources,https://www.mygroundbiz.com/en/operations/pd-technology/dynamic-route-optimization-resources,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0027,Mobile Trip App,https://www.mygroundbiz.com/en/operations/linehaul/mobile-trip-app-bid-process,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0029,Driver Prospects,https://www.mygroundbiz.com/en/operations/driver-qualification-resources/driver-prospects,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0030,"Overall driver candidate onboarding, qualification process",https://www.mygroundbiz.com/en/operations/driver-qualification-resources/overall-driver-candidate-onboarding,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0033,Qualified Observer,https://www.mygroundbiz.com/en/operations/driver-qualification-resources/qualification-certification-for-pd/qualified-observer,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0034,Standards for Linehaul Road Tests,https://www.mygroundbiz.com/en/operations/driver-qualification-resources/standards-for-linehaul-road-tests,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0036,NETWORK 2.0,https://www.mygroundbiz.com/en/operations/NETWORK-2-0,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
MGB-NAV-0037,Facility Directory,https://www.mygroundbiz.com/en/operations/facility-directory,operations,OPEN,NOT_CREATED,OPEN_AUTHENTICATED_PAGE_CAPTURE_AND_INVENTORY_LINKED_RESOURCES
