page,section_or_subject,coverage_disposition,knowledge_ids,reference_record_count,artifact_ids,coverage_basis,required_follow_up
1,"Authority, confidentiality, and controlling-agreement notice",GOVERNING_FRONT_MATTER,,0,,"Source authority, confidentiality, and controlling-agreement context; not a standalone driver procedure.",
2,Table of contents,TABLE_OF_CONTENTS,,0,,Navigation/front matter only; substantive sections are audited on their content pages.,
3,Table of contents,TABLE_OF_CONTENTS,,0,,Navigation/front matter only; substantive sections are audited on their content pages.,
4,Table of contents,TABLE_OF_CONTENTS,,0,,Navigation/front matter only; substantive sections are audited on their content pages.,
5,Table of contents,TABLE_OF_CONTENTS,,0,,Navigation/front matter only; substantive sections are audited on their content pages.,
6,"Ethics, accidents, injuries, preservation, DOT, and vehicle safety",KNOWLEDGE_MAPPED,KNO-ETH-FALSIFICATION-001;KNO-INC-ACCIDENT-REPORT-001,0,,Mapped to one or more authoritative operational knowledge records.,
7,"Ethics, accidents, injuries, preservation, DOT, and vehicle safety",KNOWLEDGE_MAPPED,KNO-DOT-ROADSIDE-REPORT-001;KNO-INC-ACCIDENT-REPORT-001,0,,Mapped to one or more authoritative operational knowledge records.,
8,"Hours of service, short-haul, and operating exceptions",KNOWLEDGE_MAPPED,KNO-HOS-DUTY-LIMITS-001,0,,Mapped to one or more authoritative operational knowledge records.,
9,"Hours of service, short-haul, and operating exceptions",KNOWLEDGE_MAPPED,KNO-HOS-DUTY-LIMITS-001;KNO-HOS-SHORT-ADVERSE-001,0,,Mapped to one or more authoritative operational knowledge records.,
10,"Hours of service, short-haul, and operating exceptions",KNOWLEDGE_MAPPED,KNO-HOS-DUTY-LIMITS-001;KNO-HOS-SHORT-ADVERSE-001,0,,Mapped to one or more authoritative operational knowledge records.,
11,"FORGE user types, support, and scan deletion",KNOWLEDGE_MAPPED,KNO-FORGE-DELETE-SCAN-001,0,,Mapped to one or more authoritative operational knowledge records.,
12,"Signature services, restricted commodities, premium services, and tracking devices",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-FORGE-DELETE-SCAN-001,0,,Mapped to one or more authoritative operational knowledge records.,
13,"Signature services, restricted commodities, premium services, and tracking devices",KNOWLEDGE_MAPPED,KNO-DEL-ALCOHOL-001;KNO-DEL-SIG-DSR-001,0,,Mapped to one or more authoritative operational knowledge records.,
14,"Signature services, restricted commodities, premium services, and tracking devices",KNOWLEDGE_MAPPED,KNO-DEL-PREMIUM-WINDOW-001;KNO-DEL-SIG-ASR-001;KNO-DEL-TOBACCO-001,0,,Mapped to one or more authoritative operational knowledge records.,
15,"Signature services, restricted commodities, premium services, and tracking devices",KNOWLEDGE_MAPPED,KNO-DEL-PREMIUM-WINDOW-001,0,,Mapped to one or more authoritative operational knowledge records.,
16,"Signature services, restricted commodities, premium services, and tracking devices",KNOWLEDGE_MAPPED,KNO-DEL-CLASSIFICATION-001;KNO-DEL-PREMIUM-WINDOW-001,0,,Mapped to one or more authoritative operational knowledge records.,
17,Residential and commercial classification,KNOWLEDGE_MAPPED,KNO-DEL-CLASSIFICATION-001,0,,Mapped to one or more authoritative operational knowledge records.,
18,Residential and commercial classification,KNOWLEDGE_MAPPED,KNO-DEL-CLASSIFICATION-001,0,,Mapped to one or more authoritative operational knowledge records.,
19,"Door tags, indirect delivery, OP-206, SRA, and electronic signatures",KNOWLEDGE_MAPPED,KNO-DEL-DOORTAG-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001,0,,Mapped to one or more authoritative operational knowledge records.,
20,"Door tags, indirect delivery, OP-206, SRA, and electronic signatures",KNOWLEDGE_MAPPED,KNO-DEL-APT-001;KNO-DEL-DOORTAG-001;KNO-DEL-SIG-ISR-001,0,,Mapped to one or more authoritative operational knowledge records.,
21,"Door tags, indirect delivery, OP-206, SRA, and electronic signatures",KNOWLEDGE_MAPPED,KNO-DEL-APT-001,0,,Mapped to one or more authoritative operational knowledge records.,
22,"Door tags, indirect delivery, OP-206, SRA, and electronic signatures",KNOWLEDGE_MAPPED,KNO-DEL-APT-001;KNO-DEL-SIG-ISR-001,0,,Mapped to one or more authoritative operational knowledge records.,
23,"Door tags, indirect delivery, OP-206, SRA, and electronic signatures",KNOWLEDGE_MAPPED,KNO-DEL-DOORTAG-001;KNO-DEL-OP206-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001,0,,Mapped to one or more authoritative operational knowledge records.,
24,"Door tags, indirect delivery, OP-206, SRA, and electronic signatures",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001,0,,Mapped to one or more authoritative operational knowledge records.,
25,"Door tags, indirect delivery, OP-206, SRA, and electronic signatures",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001,0,,Mapped to one or more authoritative operational knowledge records.,
26,"Business, residential, and shipper-authorized release",KNOWLEDGE_MAPPED,KNO-DEL-BUS-OP201-001,0,,Mapped to one or more authoritative operational knowledge records.,
27,"Business, residential, and shipper-authorized release",KNOWLEDGE_MAPPED,KNO-DEL-BUS-OP201-001;KNO-DEL-SHIPPER-RELEASE-001,0,,Mapped to one or more authoritative operational knowledge records.,
28,"Business, residential, and shipper-authorized release",KNOWLEDGE_MAPPED,KNO-DEL-SAFEPLACE-001,0,,Mapped to one or more authoritative operational knowledge records.,
29,"Lockers, secure placement, PPOD, ASR contingency, and no-safe-place handling",KNOWLEDGE_MAPPED,KNO-DEL-LOCKER-FAIL-001;KNO-DEL-SHIPPER-RELEASE-001,0,,Mapped to one or more authoritative operational knowledge records.,
30,"Lockers, secure placement, PPOD, ASR contingency, and no-safe-place handling",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SHIPPER-RELEASE-001,0,,Mapped to one or more authoritative operational knowledge records.,
31,"Lockers, secure placement, PPOD, ASR contingency, and no-safe-place handling",KNOWLEDGE_MAPPED,KNO-DEL-DOORTAG-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-SAFEPLACE-001,0,,Mapped to one or more authoritative operational knowledge records.,
32,"Lockers, secure placement, PPOD, ASR contingency, and no-safe-place handling",KNOWLEDGE_MAPPED,KNO-DEL-ALCOHOL-001;KNO-DEL-SIG-ASR-001,0,,Mapped to one or more authoritative operational knowledge records.,
33,"Lockers, secure placement, PPOD, ASR contingency, and no-safe-place handling",KNOWLEDGE_MAPPED,KNO-DEL-ALCOHOL-001;KNO-DEL-SIG-ASR-001,0,,Mapped to one or more authoritative operational knowledge records.,
34,"Lockers, secure placement, PPOD, ASR contingency, and no-safe-place handling",KNOWLEDGE_MAPPED,KNO-DEL-ALCOHOL-001;KNO-DEL-DOORTAG-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001,0,,Mapped to one or more authoritative operational knowledge records.,
35,"Lockers, secure placement, PPOD, ASR contingency, and no-safe-place handling",KNOWLEDGE_MAPPED,KNO-DEL-DOORTAG-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-DSR-001,0,,Mapped to one or more authoritative operational knowledge records.,
36,Delivery status-code reference,KNOWLEDGE_AND_REFERENCE_MAPPED,KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-REFUSED-001;KNO-DEL-SECURITY-NODELIVERY-001;KNO-FORGE-EDIT-ADDRESS-001,8,,Mapped to operational knowledge and normalized status-code reference rows.,
37,Delivery status-code reference,REFERENCE_DATA_MODELED,,18,,Normalized in the status-code reference dataset; not every code independently establishes a complete procedure.,
38,Delivery status-code reference,KNOWLEDGE_AND_REFERENCE_MAPPED,KNO-DEL-DAMAGE-INSPECTION-001,15,,Mapped to operational knowledge and normalized status-code reference rows.,
39,Delivery status-code reference,KNOWLEDGE_AND_REFERENCE_MAPPED,KNO-DEL-SECURITY-NODELIVERY-001,8,,Mapped to operational knowledge and normalized status-code reference rows.,
40,"Package notation, delivery disputes, and customer expectations",KNOWLEDGE_AND_REFERENCE_MAPPED,KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-DISPUTE-PREVENTION-001;KNO-DEL-NOTATION-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SECURITY-NODELIVERY-001;KNO-FORGE-EDIT-ADDRESS-001,1,,Mapped to operational knowledge and normalized status-code reference rows.,
41,"Package notation, delivery disputes, and customer expectations",KNOWLEDGE_MAPPED,KNO-DEL-DISPUTE-PREVENTION-001;KNO-DEL-SCAN-INTEGRITY-001,0,,Mapped to one or more authoritative operational knowledge records.,
42,HAL and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001,0,,Mapped to one or more authoritative operational knowledge records.,
43,HAL and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001,0,,Mapped to one or more authoritative operational knowledge records.,
44,HAL and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001;KNO-DEL-HAL-UNABLE-001;KNO-DOC-HANDSHEET-001,0,,Mapped to one or more authoritative operational knowledge records.,
45,HAL and SenseAware delivery,KNOWLEDGE_MAPPED,KNO-DEL-HAL-UNABLE-001;KNO-DEL-SENSEAWARE-TAG-001,0,,Mapped to one or more authoritative operational knowledge records.,
46,"Barcode, address, retry, damage-comment, and signature-device exceptions",KNOWLEDGE_MAPPED,KNO-DEL-APT-001;KNO-DEL-ATTEMPT-LIMIT-001;KNO-DEL-BARCODE-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-FORGE-COMMENT-SCOPE-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-MANUAL-BARCODE-001,0,,Mapped to one or more authoritative operational knowledge records.,
47,"Barcode, address, retry, damage-comment, and signature-device exceptions",KNOWLEDGE_MAPPED,KNO-DEL-OP206-001;KNO-PUP-PACKAGING-001,0,,Mapped to one or more authoritative operational knowledge records.,
48,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-PACKAGING-001,0,,Mapped to one or more authoritative operational knowledge records.,
49,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,,Mapped to one or more authoritative operational knowledge records.,
50,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,,Mapped to one or more authoritative operational knowledge records.,
51,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,0,,Mapped to one or more authoritative operational knowledge records.,
52,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-NOTREADY-001,0,,Mapped to one or more authoritative operational knowledge records.,
53,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-PUP-CALLTAG-SUCCESS-001,0,,Mapped to one or more authoritative operational knowledge records.,
54,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-PUP-SENSEAWARE-NOHEALTHY-001,0,,Mapped to one or more authoritative operational knowledge records.,
55,"Pickup listing, reconciliation, reason codes, call tags, and SenseAware pickup",KNOWLEDGE_MAPPED,KNO-PUP-SENSEAWARE-NOHEALTHY-001,0,,Mapped to one or more authoritative operational knowledge records.,
56,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,0,,Mapped to one or more authoritative operational knowledge records.,
57,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,0,,Mapped to one or more authoritative operational knowledge records.,
58,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,0,,Mapped to one or more authoritative operational knowledge records.,
59,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,0,,Mapped to one or more authoritative operational knowledge records.,
60,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001,0,,Mapped to one or more authoritative operational knowledge records.,
61,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SETTINGS-001,0,,Mapped to one or more authoritative operational knowledge records.,
62,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SETTINGS-001,0,,Mapped to one or more authoritative operational knowledge records.,
63,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SETTINGS-001,0,,Mapped to one or more authoritative operational knowledge records.,
64,"Drop-box pickup, connection fallbacks, settings, holiday, and early pickup",KNOWLEDGE_MAPPED,KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-EARLY-LAST-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SERIAL-001,0,,Mapped to one or more authoritative operational knowledge records.,
65,"CXPC, pickup exceptions, combo stops, capacity, and geographic restrictions",KNOWLEDGE_MAPPED,KNO-PUP-WINDOW-RISK-001;KNO-PUP-WRONG-WA-001,0,,Mapped to one or more authoritative operational knowledge records.,
66,"CXPC, pickup exceptions, combo stops, capacity, and geographic restrictions",KNOWLEDGE_MAPPED,KNO-PUP-OFFER-DECLINE-001;KNO-PUP-WINDOW-RISK-001;KNO-PUP-WRONG-WA-001,0,,Mapped to one or more authoritative operational knowledge records.,
67,"CXPC, pickup exceptions, combo stops, capacity, and geographic restrictions",KNOWLEDGE_MAPPED,KNO-PUP-WINDOW-RISK-001,0,,Mapped to one or more authoritative operational knowledge records.,
68,"CXPC, pickup exceptions, combo stops, capacity, and geographic restrictions",KNOWLEDGE_MAPPED,KNO-DEL-DAMAGE-INSPECTION-001;KNO-PUP-PACKAGING-001;KNO-PUP-PRR-001;KNO-PUP-UNLISTED-001;KNO-PUP-WINDOW-RISK-001,0,,Mapped to one or more authoritative operational knowledge records.,
69,"CXPC, pickup exceptions, combo stops, capacity, and geographic restrictions",KNOWLEDGE_MAPPED,KNO-DEL-DAMAGE-INSPECTION-001;KNO-FORGE-COMBO-STOP-001;KNO-PUP-PACKAGING-001;KNO-PUP-SCAN-INTEGRITY-001;KNO-PUP-SCANNER-FAIL-001;KNO-PUP-VEHICLE-CAPACITY-001;KNO-PUP-WINDOW-RISK-001;KNO-PUP-WRONG-WA-001,0,,Mapped to one or more authoritative operational knowledge records.,
70,"CXPC, pickup exceptions, combo stops, capacity, and geographic restrictions",KNOWLEDGE_MAPPED,KNO-FORGE-COMBO-STOP-001,0,,Mapped to one or more authoritative operational knowledge records.,
71,"CXPC, pickup exceptions, combo stops, capacity, and geographic restrictions",KNOWLEDGE_MAPPED,KNO-HAZ-AKHI-001;KNO-PUP-ZERO-001,0,,Mapped to one or more authoritative operational knowledge records.,
72,Hazmat acceptance and transport,KNOWLEDGE_MAPPED,KNO-HAZ-ACCEPTANCE-001,0,,Mapped to one or more authoritative operational knowledge records.,
73,Hazmat acceptance and transport,KNOWLEDGE_MAPPED,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-RADIOACTIVE-WET-001,0,,Mapped to one or more authoritative operational knowledge records.,
74,Hazardous-materials section divider,SECTION_DIVIDER,,0,,Hazardous-materials title/divider page with no independent operational instruction.,
75,"Hazmat certification, custody, manifest, delivery, and emergency response",KNOWLEDGE_MAPPED,KNO-HAZ-ACCEPTANCE-001,0,,Mapped to one or more authoritative operational knowledge records.,
76,"Hazmat certification, custody, manifest, delivery, and emergency response",KNOWLEDGE_MAPPED,KNO-HAZ-MANIFEST-001,0,,Mapped to one or more authoritative operational knowledge records.,
77,"Hazmat certification, custody, manifest, delivery, and emergency response",KNOWLEDGE_MAPPED,KNO-DEL-DAMAGE-INSPECTION-001;KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LEAK-001,0,,Mapped to one or more authoritative operational knowledge records.,
78,"Hazmat certification, custody, manifest, delivery, and emergency response",KNOWLEDGE_MAPPED,KNO-HAZ-ACCEPTANCE-001,0,,Mapped to one or more authoritative operational knowledge records.,
79,"Hazmat certification, custody, manifest, delivery, and emergency response",KNOWLEDGE_MAPPED,KNO-HAZ-LOAD-PAPERS-001,0,,Mapped to one or more authoritative operational knowledge records.,
80,"Hazmat certification, custody, manifest, delivery, and emergency response",KNOWLEDGE_MAPPED,KNO-DEL-DAMAGE-INSPECTION-001;KNO-HAZ-LEAK-001;KNO-HAZ-MANIFEST-001;KNO-HAZ-SF136-001,0,,Mapped to one or more authoritative operational knowledge records.,
81,"Relay, badges, vehicles, security, threats, theft, and incident reporting",KNOWLEDGE_MAPPED,KNO-CX-APPEARANCE-001;KNO-ETH-FALSIFICATION-001;KNO-HAZ-AKHI-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-SEC-LOST-BADGE-001,0,,Mapped to one or more authoritative operational knowledge records.,
82,"Relay, badges, vehicles, security, threats, theft, and incident reporting",KNOWLEDGE_MAPPED,KNO-CX-APPEARANCE-001;KNO-SEC-FACILITY-VEHICLE-001;KNO-SEC-LOST-BADGE-001,0,,Mapped to one or more authoritative operational knowledge records.,
83,"Relay, badges, vehicles, security, threats, theft, and incident reporting",KNOWLEDGE_MAPPED,KNO-SEC-WEAPONS-SCREENING-001,0,,Mapped to one or more authoritative operational knowledge records.,
84,"Relay, badges, vehicles, security, threats, theft, and incident reporting",KNOWLEDGE_MAPPED,KNO-COMMS-MEDIA-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001;KNO-SEC-WEAPONS-SCREENING-001,0,,Mapped to one or more authoritative operational knowledge records.,
85,"Relay, badges, vehicles, security, threats, theft, and incident reporting",KNOWLEDGE_MAPPED,KNO-SEC-ACTIVE-THREAT-001;KNO-SEC-INCIDENT-REPORT-001,0,,Mapped to one or more authoritative operational knowledge records.,
86,"Relay, badges, vehicles, security, threats, theft, and incident reporting",KNOWLEDGE_MAPPED,KNO-SEC-ACTIVE-THREAT-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-STOLEN-VEHICLE-001,0,,Mapped to one or more authoritative operational knowledge records.,
87,"Relay, badges, vehicles, security, threats, theft, and incident reporting",KNOWLEDGE_MAPPED,KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001,0,,Mapped to one or more authoritative operational knowledge records.,
88,Common package-label visual reference,VISUAL_REFERENCE_ONLY,,0,,Image-heavy examples of common label formats; no explicit operational instruction is stated.,
89,Common package-label visual reference and blank local-contact table,LOCAL_CONTACT_TEMPLATE_TRACKED,,0,ART-DOC-003,"Label examples plus a blank local-contact template are tracked as a configurable artifact, not populated approved guidance.",Authorized local owners must populate and maintain current contacts outside the shared authoritative corpus.
