alert_id,source_id,customer_or_subject,alert_date,display_scope,source_line_start,source_line_end,segment_sha256,review_status,currency_review_status,knowledge_extraction_status,operational_record_id,required_follow_up
MGB-ALERT-0001,SRC-MGB-PAGE-0023,School Specialty Inc.,2026-08-06,U.S.,23,29,3aae964c2dd54ff54c2cae8207ca0c2f9eb844424537563b0f9e85346a6af589,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0001,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0002,SRC-MGB-PAGE-0023,Alo Yoga,2026-07-29,U.S.,35,43,78b126143b00eee300fc49083bf5e3893554094049c3e713701fbcecb644d1c1,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0002,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0003,SRC-MGB-PAGE-0023,Sam’s Club,2026-07-08,U.S.,47,51,07f3b1c7ac360c9ac7736ec8403c40699dc73ccaa7f3a9c23dc7006ec796ce5e,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0003,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0004,SRC-MGB-PAGE-0023,Magic Kitchen,2026-07-08,U.S.,57,63,137b4f5b05649ebc159b713daaf01d9be1d76ae34f16101a10be8d7aa33c7d5a,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0004,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0005,SRC-MGB-PAGE-0023,Foot Locker,2026-06-29,U.S.,71,78,2a68d3d43c67bb8fa65f03ea8f011057f085da16ef07652fd8f86fe5d8a5a748,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0005,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0006,SRC-MGB-PAGE-0023,TJX Companies,2026-06-22,U.S.,82,92,fd30e5f6cc56c353c2e85ba416793567afb5ac49c6f174631cd91cda43c9e852,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0006,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0007,SRC-MGB-PAGE-0023,Best Buy,2026-06-16,U.S.,96,98,ee0c8177e70714e5f6c5b7a491a5be5b9bcf5421dabfac226ea3a2ded2699d57,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0007,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0008,SRC-MGB-PAGE-0023,ACT Testing,2026-05-27,U.S.,104,108,aa7cd876e68de46743e523759dbd3017f889ac2fe179321424806782ae88757a,FULLY_REVIEWED,EXPLICIT_WINDOW_ELAPSED_CURRENT_SOURCE_REQUIRED,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0008,Acquire and review a current customer instruction before answering as current.
MGB-ALERT-0009,SRC-MGB-PAGE-0023,Walgreens,2026-05-20,U.S.,116,122,37b4bd69fddfc40698a45d60a38c0545ebd27003d8faeb1f992159e6256ebb1a,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0009,Revalidate customer-specific scope and instructions when the alert page changes.
MGB-ALERT-0010,SRC-MGB-PAGE-0023,RR Donnelley/The Home Depot,2026-05-15,U.S.,124,128,6b3cf4b3ff9d698e8fd56b3d6a628e9861214e02ad00f3f762c9d6a3c0ae2870,FULLY_REVIEWED,CURRENT_PAGE_NO_EXPLICIT_END_DATE_REVALIDATE_ON_PAGE_CHANGE,EXTRACTED_TO_CUSTOMER_ALERT_LAYER,CAL-2026-0010,Revalidate customer-specific scope and instructions when the alert page changes.
