member_order,archive_source_id,archive_local_path,member_path,member_size_bytes,compressed_size_bytes,crc32,member_sha256,mapped_source_id,extracted_local_archive_path,extracted_sha256,review_status,mapping_status
1,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/Screenshot 2026-08-08 at 2.54.08 PM.png,1028113,1028273,3cb0a355,1ee71cc3fc9d16bcb789e70ed79c64dd7e4738a2a7c2923d0e7e0a0281a3c6d4,SRC-GDRIVE-FILE-0017,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/Screenshot 2026-08-08 at 2.54.08%D4ǻPM.png,1ee71cc3fc9d16bcb789e70ed79c64dd7e4738a2a7c2923d0e7e0a0281a3c6d4,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
2,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/Customer Experience Quick Reference MGB119110625.pdf,160352,137201,01c9e261,ab473f68b35ae6ea8bd5d893cd992aeda6a95c8ee6f862608350871853a90301,SRC-GDRIVE-FILE-0001,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/Customer Experience Quick Reference MGB119110625.pdf,ab473f68b35ae6ea8bd5d893cd992aeda6a95c8ee6f862608350871853a90301,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
3,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/FedEx_Driver_Bot_Scenarios.xlsx,19251,18163,a2e07866,635015616167bfa95e24905a1ff8fa97cd80c6c7d4aa485f5c0e20e5c945989f,SRC-GDRIVE-FILE-0003,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/FedEx_Driver_Bot_Scenarios.xlsx,635015616167bfa95e24905a1ff8fa97cd80c6c7d4aa485f5c0e20e5c945989f,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
4,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/Package placement_quick reference.pdf,442240,410125,c2f73c81,b7760202421f401ba18bd4768c66437e939f488a9bf09061bb5ce871a578bf47,SRC-GDRIVE-FILE-0015,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/Package placement_quick reference.pdf,b7760202421f401ba18bd4768c66437e939f488a9bf09061bb5ce871a578bf47,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
5,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/Personnel Qualification Verification Flow.pdf,87111,76650,312ebe71,e705e3d08bf8802ad0eac88227890a0fc4081caa24174b3e9a9c772600e9911d,SRC-GDRIVE-FILE-0016,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/Personnel Qualification Verification Flow.pdf,e705e3d08bf8802ad0eac88227890a0fc4081caa24174b3e9a9c772600e9911d,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
6,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/Hand sheet.pdf,1388508,1386218,b71729ff,5fab3d8e9d68e749af395c7f9f8edda01d6cf34baaaac4009c355ac030ed905f,SRC-GDRIVE-FILE-0012,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/Hand sheet.pdf,5fab3d8e9d68e749af395c7f9f8edda01d6cf34baaaac4009c355ac030ed905f,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
7,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/CustomerExperienceGuideUS10282024.pdf,554644,524729,8d3cef51,cb63945d7c18e4531a2043474f92895db4506bbcc6b2f689cc85f5edbe26d3c6,SRC-GDRIVE-FILE-0002,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/CustomerExperienceGuideUS10282024.pdf,cb63945d7c18e4531a2043474f92895db4506bbcc6b2f689cc85f5edbe26d3c6,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
8,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/FORGE Business Closure 220rev6102025.pdf,197081,179314,406a10d6,d69043ae5f274d6625c041d271631ddedfef1d5bdeb8db2073dc89ee7351b81e,SRC-GDRIVE-FILE-0005,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/FORGE Business Closure 220rev6102025.pdf,d69043ae5f274d6625c041d271631ddedfef1d5bdeb8db2073dc89ee7351b81e,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
9,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/Hand sheet 2.pdf,1825594,1821317,acef1b8c,3330093b8e7103e3dde533b1d5efb34cb36d227ceb5dbbba3b564a4d12e187a2,SRC-GDRIVE-FILE-0011,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/Hand sheet 2.pdf,3330093b8e7103e3dde533b1d5efb34cb36d227ceb5dbbba3b564a4d12e187a2,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
10,SRC-GDRIVE-BROWSER-ROOT-0001,research/fedex-ground-driver-knowledge/sources/google-drive/Chat Bot-20260809T025232Z-1-001.zip,Chat Bot/FORGE Call Tags 220rev6102025.pdf,422306,395840,42322043,2897ed78b09014963cc10ff50d827232ff0ceaf3f3c132ae1eb346a4ef219f88,SRC-GDRIVE-FILE-0006,research/fedex-ground-driver-knowledge/sources/google-drive/chat-bot/Chat Bot/FORGE Call Tags 220rev6102025.pdf,2897ed78b09014963cc10ff50d827232ff0ceaf3f3c132ae1eb346a4ef219f88,FULLY_REVIEWED,EXACT_CONTENT_HASH_MATCH
