taxonomy_id,label,parent_ids,mapped_record_count,mapped_knowledge_ids,verified_count,conflict_count,human_review_count,potentially_outdated_count,durable_evidence_record_count,capture_open_record_count,referenced_source_gap_ids,authenticated_queue_resource_ids,readiness_class,coverage_basis,required_follow_up
TAX-ETHICS,Ethics and falsification,,2,KNO-DEL-SCAN-INTEGRITY-001;KNO-ETH-FALSIFICATION-001,2,0,0,0,2,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-INCIDENT,"Accidents, injuries, and operational incidents",,9,KNO-DOT-ROADSIDE-REPORT-001;KNO-HAZ-DRY-ICE-001;KNO-HAZ-LEAK-001;KNO-INC-ACCIDENT-REPORT-001;KNO-INC-ACCIDENT-SCENE-001;KNO-SAF-DOG-ENCOUNTER-001;KNO-SAFETY-HEAT-ILLNESS-001;KNO-SEC-INCIDENT-REPORT-001;KNO-SEC-STOLEN-VEHICLE-001,7,1,1,0,6,3,REFSRC-009,MGB-NAV-0068;SRC-MGB-DOC-0006;SRC-MGB-DOC-0007;SRC-MGB-DOC-0008;SRC-MGB-DOC-0011,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-DOT,DOT and regulatory compliance,,38,KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-DOT-ROADSIDE-REPORT-001;KNO-FORGE-DEVICE-ROAD-001;KNO-FORGE-EOD-001;KNO-FORGE-LOGIN-DISPATCH-001;KNO-FORGE-LOGIN-WARNING-001;KNO-FORGE-VEHICLE-CHANGE-001;KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-AKHI-001;KNO-HAZ-DRY-ICE-001;KNO-HAZ-LEAK-001;KNO-HAZ-LOAD-PAPERS-001;KNO-HAZ-MANIFEST-001;KNO-HAZ-RADIOACTIVE-WET-001;KNO-HAZ-SF136-001;KNO-HOS-DUTY-LIMITS-001;KNO-HOS-RENTAL-ELD-001;KNO-HOS-SHORT-ADVERSE-001;KNO-HOS-UDE-001;KNO-LH-COUPLING-BASIC-001;KNO-LH-TRAILER-DOCK-PULL-001;KNO-PUP-CALLTAG-RESTRICTED-001;KNO-QUAL-PD-ROADTEST-001;KNO-QUAL-VEHICLE-UPGRADE-001;KNO-SAF-DISTRACTION-001;KNO-SAF-HYDRATION-001;KNO-SAF-REDLIGHT-001;KNO-SAF-SIDESWIPE-001;KNO-SAF-SUMMER-TRAFFIC-001;KNO-SAF-SUN-EXPOSURE-001;KNO-SEC-FACILITY-VEHICLE-001;KNO-SEC-ROUTE-001;KNO-VEH-ALT-ONBOARD-001;KNO-VEH-ANNUAL-INSPECTION-001;KNO-VEH-CA-90DAY-INSPECTION-001;KNO-VEH-PRETRIP-DEFECT-001;KNO-VEH-RENTAL-PREP-001,23,0,14,1,30,8,REFSRC-006;REFSRC-007;REFSRC-011;REFSRC-014;REFSRC-015;REFSRC-021;REFSRC-022;REFSRC-028;REFSRC-031;REFSRC-032;REFSRC-033,MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0047;MGB-NAV-0068;MGB-NAV-0070;MGB-NAV-0084;SRC-MGB-DOC-0038;SRC-MGB-DOC-0039;SRC-MGB-PAGE-0017;SRC-MGB-PAGE-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-HOS,Hours of service,TAX-DOT,5,KNO-FORGE-LOGIN-WARNING-001;KNO-HOS-DUTY-LIMITS-001;KNO-HOS-RENTAL-ELD-001;KNO-HOS-SHORT-ADVERSE-001;KNO-HOS-UDE-001,1,0,4,0,5,0,REFSRC-011;REFSRC-022;REFSRC-028,MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0068;MGB-NAV-0070,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-FORGE,FORGE application operation,,63,KNO-DEL-ALT-SIGNATURE-001;KNO-DEL-BARCODE-001;KNO-DEL-COD-MULTI-001;KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-UNABLE-001;KNO-DEL-MISDELIVERY-RECOVERY-001;KNO-DEL-NOTATION-001;KNO-DEL-OP206-001;KNO-DEL-REFUSED-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SECURITY-NODELIVERY-001;KNO-DOC-HANDSHEET-001;KNO-FORGE-AUDIO-ALERTS-001;KNO-FORGE-BULK-001;KNO-FORGE-BULK-TRANSFER-001;KNO-FORGE-BUSINESS-CLOSURE-MSG-001;KNO-FORGE-CALLTAG-SCOPE-001;KNO-FORGE-CAMERA-SCAN-001;KNO-FORGE-COMBINE-DELIVERY-001;KNO-FORGE-COMBO-STOP-001;KNO-FORGE-COMMENT-SCOPE-001;KNO-FORGE-DELAYED-LOGIN-001;KNO-FORGE-DELETE-SCAN-001;KNO-FORGE-DEVICE-INFO-001;KNO-FORGE-DEVICE-ROAD-001;KNO-FORGE-DISPLAY-NAV-SETTINGS-001;KNO-FORGE-DOWNLOAD-SYNC-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-EOD-001;KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LANGUAGE-001;KNO-FORGE-LOGIN-DISPATCH-001;KNO-FORGE-LOGIN-WARNING-001;KNO-FORGE-MANIFEST-PERMISSIONS-001;KNO-FORGE-MANIFEST-PREVIEW-001;KNO-FORGE-MANIFEST-SEARCH-001;KNO-FORGE-MANUAL-BARCODE-001;KNO-FORGE-MERGE-PICKUP-001;KNO-FORGE-MESSAGING-001;KNO-FORGE-MULTICODE-001;KNO-FORGE-SPLIT-DELIVERY-001;KNO-FORGE-STANDARD-DELIVERY-001;KNO-FORGE-STANDARD-PICKUP-001;KNO-FORGE-STATUS-SCOPE-001;KNO-FORGE-SYNC-QUEUE-001;KNO-FORGE-TIME-REMINDER-001;KNO-FORGE-UNMANIFESTED-DELIVERY-001;KNO-FORGE-VEHICLE-CHANGE-001;KNO-HAZ-MANIFEST-001;KNO-PUP-CALLTAG-FRAUD-001;KNO-PUP-CALLTAG-NOTREADY-001;KNO-PUP-CALLTAG-REFUSED-001;KNO-PUP-DROPBOX-CONNECTION-001;KNO-PUP-DROPBOX-EARLY-LAST-001;KNO-PUP-DROPBOX-HOLIDAY-001;KNO-PUP-DROPBOX-SCHEDULE-001;KNO-PUP-DROPBOX-SERIAL-001;KNO-PUP-DROPBOX-SETTINGS-001;KNO-PUP-SCAN-INTEGRITY-001;KNO-PUP-SCANNER-FAIL-001;KNO-PUP-ZERO-001;KNO-VEH-RENTAL-PREP-001,28,0,16,19,63,0,REFSRC-004;REFSRC-005;REFSRC-011;REFSRC-022;REFSRC-023;REFSRC-027;REFSRC-028;REFSRC-029;REFSRC-034,MGB-NAV-0018;MGB-NAV-0022;MGB-NAV-0044;MGB-NAV-0047;MGB-NAV-0068;MGB-NAV-0070;MGB-NAV-0084,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-DELIVERY,Delivery,,46,KNO-DEL-ALCOHOL-001;KNO-DEL-ALT-SIGNATURE-001;KNO-DEL-APT-001;KNO-DEL-ATTEMPT-LIMIT-001;KNO-DEL-BARCODE-001;KNO-DEL-BUS-OP201-001;KNO-DEL-CLASSIFICATION-001;KNO-DEL-COD-MULTI-001;KNO-DEL-CRITICAL-HEALTH-001;KNO-DEL-DAMAGE-INSPECTION-001;KNO-DEL-DISPUTE-PREVENTION-001;KNO-DEL-DOORTAG-001;KNO-DEL-FAD-GROUND-001;KNO-DEL-HAL-DELIVERY-001;KNO-DEL-HAL-NONHAL-TRANSFER-001;KNO-DEL-HAL-UNABLE-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-DEL-LOCKER-FAIL-001;KNO-DEL-MISDELIVERY-RECOVERY-001;KNO-DEL-NOTATION-001;KNO-DEL-OP206-001;KNO-DEL-PHARMACY-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-PREMIUM-WINDOW-001;KNO-DEL-REFUSED-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SECURITY-NODELIVERY-001;KNO-DEL-SENSEAWARE-TAG-001;KNO-DEL-SHIPPER-RELEASE-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001;KNO-DEL-TOBACCO-001;KNO-FORGE-BULK-001;KNO-FORGE-COMBINE-DELIVERY-001;KNO-FORGE-COMBO-STOP-001;KNO-FORGE-EDIT-ADDRESS-001;KNO-FORGE-SPLIT-DELIVERY-001;KNO-FORGE-STANDARD-DELIVERY-001;KNO-FORGE-TIME-REMINDER-001;KNO-FORGE-UNMANIFESTED-DELIVERY-001;KNO-HAZ-SF136-001;KNO-SAF-DOG-ENCOUNTER-001,31,1,9,5,45,1,REFSRC-001;REFSRC-017;REFSRC-022;REFSRC-025;REFSRC-027;REFSRC-029;REFSRC-034;REFSRC-036;REFSRC-038;REFSRC-039,MGB-NAV-0018;MGB-NAV-0022;MGB-NAV-0068;SRC-MGB-DOC-0011,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-ACCESS,Delivery access and placement hazards,TAX-DELIVERY,2,KNO-DEL-PLACEMENT-HAZARD-001;KNO-SAF-DOG-ENCOUNTER-001,2,0,0,0,1,1,,SRC-MGB-DOC-0011,ALL_RECORDS_VERIFIED_CAPTURE_OPEN,"Every mapped record is VERIFIED, but at least one record uses transient evidence requiring durable recapture.",Complete the listed authenticated recaptures and revalidate exact evidence locators before production evidence approval.
TAX-DELIVERY-CLASS,Residential and commercial classification,TAX-DELIVERY,1,KNO-DEL-CLASSIFICATION-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
TAX-SIGNATURE,Signature services,TAX-DELIVERY,9,KNO-DEL-ALCOHOL-001;KNO-DEL-ALT-SIGNATURE-001;KNO-DEL-HAZMAT-SIGNATURE-001;KNO-DEL-OP206-001;KNO-DEL-PHARMACY-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-DEL-SRA-001,7,0,2,0,9,0,REFSRC-034;REFSRC-038,MGB-NAV-0022,MIXED_VERIFIED_AND_NONVERIFIED,"The branch contains both VERIFIED and conflict, human-review, or potentially-outdated records; retrieval must preserve record-level gates.",Resolve the listed non-verified dependencies and transient evidence captures without generalizing a verified sibling rule to gated records.
TAX-ALCOHOL,Alcohol and controlled-substance delivery,TAX-SIGNATURE,1,KNO-DEL-ALCOHOL-001,1,0,0,0,1,0,,,ALL_RECORDS_VERIFIED_DURABLE,Every mapped record is VERIFIED and every supporting evidence set is durably archived.,Maintain source currency and repeat taxonomy/status/capture review when new evidence changes this branch.
