nav_id,title,url,site_section,review_status,relevance_status
MGB-NAV-0001,"Security","https://www.mygroundbiz.com/en/safety/safety-resources/security",safety,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0002,"Safety Topic Library","https://www.mygroundbiz.com/en/safety/safety-resources/safety-topic-library",safety,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0003,"Qualification Certification","https://www.mygroundbiz.com/en/safety/safety-resources/Qualification-Certification",safety,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0004,"SRS / SRI","https://www.mygroundbiz.com/en/safety/safety-resources/SRS-SRI",safety,FULLY_REVIEWED,POTENTIALLY_RELEVANT
MGB-NAV-0005,"Qualified Driver Safety Training Program - Linehaul","https://www.mygroundbiz.com/en/safety/safety-resources/qualified-driver-safety-training-program",safety,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0006,"Accident Reporting","https://www.mygroundbiz.com/en/safety/safety-resources/accident-reporting",safety,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0007,"CSA/DOT Regulations","https://www.mygroundbiz.com/en/safety/regulatory-compliance/dot-regulations",safety,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0008,"Unsafe Driving","https://www.mygroundbiz.com/en/safety/regulatory-compliance/dot-regulations/unsafe-driving",safety,FULLY_REVIEWED,POTENTIALLY_RELEVANT
MGB-NAV-0009,"Safety and Compliance Program Resources","https://www.mygroundbiz.com/en/safety/regulatory-compliance/safety-and-compliance-program-resources",safety,FULLY_REVIEWED,POTENTIALLY_RELEVANT
MGB-NAV-0010,"Safety Information Guide","https://www.mygroundbiz.com/en/safety/regulatory-compliance/safety-information-guide",safety,FULLY_REVIEWED,POTENTIALLY_RELEVANT
MGB-NAV-0011,"Transporting Hazardous Materials","https://www.mygroundbiz.com/en/safety/regulatory-compliance/transporting-hazardous-materials",safety,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0012,"TSPA Safety Technology Terms","https://www.mygroundbiz.com/en/safety/safety-technology/TSPA-Safety-Technology-Terms",safety,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0013,"ISPA Safety Technology Terms","https://www.mygroundbiz.com/en/safety/safety-technology/ISPA-Safety-Technology-Terms",safety,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0014,"Safety Technology Vendors","https://www.mygroundbiz.com/en/safety/safety-technology/safety-technology-vendors",safety,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0015,"Linehaul Indemnification","https://www.mygroundbiz.com/en/safety/safety-technology/Linehaul-Indemnification",safety,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0016,"Customer Alerts","https://www.mygroundbiz.com/en/operations/pd/customer-alerts",operations,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0017,"Customer Experience and Pickup Coordination","https://www.mygroundbiz.com/en/operations/pd/customer-pickup-coordination",operations,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0018,"Customer Service Case Automation","https://www.mygroundbiz.com/en/operations/pd/Customer-Service-Case-Automation",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0019,"On the Road Reference Guide","https://www.mygroundbiz.com/en/operations/pd/on-the-road-reference-guide",operations,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0020,"Peak Planning Resources","https://www.mygroundbiz.com/en/operations/pd-technology/peak-planning",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0021,"FORGE: Scanner Specifications and Vendors","https://www.mygroundbiz.com/en/operations/pd-technology/star-scanner-specifications-and-vendors",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0022,"FORGE Familiarization Guides","https://www.mygroundbiz.com/en/operations/pd-technology/star-scanner-specifications-and-vendors/star-v-familiarization-guides-and-videos",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0023,"P&D Scanner Specifications: Certified Devices for P&D Operations","https://www.mygroundbiz.com/en/operations/pd-technology/star-scanner-specifications-and-vendors/pd-scanner-specifications-for-devices-compatible-with-star-v",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0024,"Route Navigation","https://www.mygroundbiz.com/en/operations/pd-technology/route-navigation---solutions-for-peak",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0025,"Work Area Design Resources","https://www.mygroundbiz.com/en/operations/pd-technology/work-area-design-resources",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0026,"Route Optimization Resources","https://www.mygroundbiz.com/en/operations/pd-technology/dynamic-route-optimization-resources",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0027,"Mobile Trip App","https://www.mygroundbiz.com/en/operations/linehaul/mobile-trip-app-bid-process",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0028,"Trailer Pull Safety at FedEx, Customer Locations","https://www.mygroundbiz.com/en/operations/linehaul/trailer-pull-safety-at-fedex-customer-locations",operations,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0029,"Driver Prospects","https://www.mygroundbiz.com/en/operations/driver-qualification-resources/driver-prospects",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0030,"Overall driver candidate onboarding, qualification process","https://www.mygroundbiz.com/en/operations/driver-qualification-resources/overall-driver-candidate-onboarding",operations,NOT_YET_REVIEWED,PENDING_ASSESSMENT
MGB-NAV-0031,"Standards for P&D Road Tests","https://www.mygroundbiz.com/en/operations/driver-qualification-resources/pd-road-tests",operations,FULLY_REVIEWED,HIGH_RELEVANCE
MGB-NAV-0032,"Driver Safety Standards - Qualification Certification for P&D","https://www.mygroundbiz.com/en/operations/driver-qualification-resources/qualification-certification-for-pd",operations,FULLY_REVIEWED,HIGH_RELEVANCE
