page,section_or_subject,coverage_disposition,knowledge_ids,coverage_basis,required_follow_up
1,"Identity, version, authority, and application-scope notice",GOVERNING_FRONT_MATTER,,"Document identity, version, confidentiality, demo scope, and cross-version warning; not an operational procedure.",
2,Table of contents,TABLE_OF_CONTENTS,,Navigation/front matter only.,
3,Table of contents,TABLE_OF_CONTENTS,,Navigation/front matter only.,
4,Table of contents,TABLE_OF_CONTENTS,,Navigation/front matter only.,
5,"Multicode barcode, user type, and vehicle type guidance",KNOWLEDGE_MAPPED,KNO-FORGE-MULTICODE-001,Mapped to one or more operational knowledge records with exact source evidence.,
6,"Multicode barcode, user type, and vehicle type guidance",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
7,"Multicode barcode, user type, and vehicle type guidance",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
8,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
9,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
10,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-FIRST-LAUNCH-001;KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
11,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
12,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
13,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
14,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
15,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
16,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
17,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
18,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
19,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
20,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
21,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
22,"First launch, authentication, assignment, vehicle, duty, manifest, and dispatch",KNOWLEDGE_MAPPED,KNO-FORGE-LOGIN-DISPATCH-001,Mapped to one or more operational knowledge records with exact source evidence.,
23,"FORGE UI, language, premium-service icons, and general icons",UI_SCREEN_REFERENCE,,Annotated Stop List screen reference; no independent procedure.,
24,"FORGE UI, language, premium-service icons, and general icons",UI_SCREEN_REFERENCE,,Annotated Stop Details screen reference; no independent procedure.,
25,"FORGE UI, language, premium-service icons, and general icons",KNOWLEDGE_MAPPED,KNO-FORGE-LANGUAGE-001,Mapped to one or more operational knowledge records with exact source evidence.,
26,"FORGE UI, language, premium-service icons, and general icons",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ASR-001,Mapped to one or more operational knowledge records with exact source evidence.,
27,"FORGE UI, language, premium-service icons, and general icons",ICON_GLOSSARY_REFERENCE,,General icon glossary; operational uses are mapped on their workflow pages.,
28,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
29,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
30,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
31,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
32,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
33,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
34,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
35,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
36,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
37,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
38,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
39,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-STANDARD-PICKUP-001,Mapped to one or more operational knowledge records with exact source evidence.,
40,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-UNMANIFESTED-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
41,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-UNMANIFESTED-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
42,"Listed delivery, listed pickup, and unmanifested delivery",KNOWLEDGE_MAPPED,KNO-FORGE-UNMANIFESTED-DELIVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
43,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
44,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
45,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
46,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
47,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
48,Unlisted retail pickup,KNOWLEDGE_MAPPED,KNO-PUP-UNLISTED-001,Mapped to one or more operational knowledge records with exact source evidence.,
49,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
50,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
51,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
52,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
53,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
54,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
55,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
56,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
57,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
58,Stop-level and package-level delivery status scope,KNOWLEDGE_MAPPED,KNO-FORGE-STATUS-SCOPE-001,Mapped to one or more operational knowledge records with exact source evidence.,
59,Zero-package pickup,KNOWLEDGE_MAPPED,KNO-PUP-ZERO-001,Mapped to one or more operational knowledge records with exact source evidence.,
60,Zero-package pickup,KNOWLEDGE_MAPPED,KNO-PUP-ZERO-001,Mapped to one or more operational knowledge records with exact source evidence.,
61,Zero-package pickup,KNOWLEDGE_MAPPED,KNO-PUP-ZERO-001,Mapped to one or more operational knowledge records with exact source evidence.,
62,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
63,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
64,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
65,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
66,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
67,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
68,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
69,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
70,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
71,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
72,Misdelivery pickup and same-day redelivery,KNOWLEDGE_MAPPED,KNO-DEL-MISDELIVERY-RECOVERY-001,Mapped to one or more operational knowledge records with exact source evidence.,
73,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ISR-001,Mapped to one or more operational knowledge records with exact source evidence.,
74,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ISR-001,Mapped to one or more operational knowledge records with exact source evidence.,
75,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ISR-001,Mapped to one or more operational knowledge records with exact source evidence.,
76,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-SIG-ISR-001,Mapped to one or more operational knowledge records with exact source evidence.,
77,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-PPOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
78,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-PPOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
79,"Indirect, residential, and business release",UI_SCREEN_REFERENCE,,"Intermediate residential release screen showing the locker-number prompt and SKIP control; it does not independently establish locker eligibility, when omission is authorized, or PPOD content requirements.",
80,"Indirect, residential, and business release",UI_SCREEN_REFERENCE,,Intermediate residential release screen showing an optional door-tag scan for non-Other release selections; current door-tag requirements are established by mapped OP-117 procedures.,
81,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-PPOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
82,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-PPOD-001,Mapped to one or more operational knowledge records with exact source evidence.,
83,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-BUS-OP201-001,Mapped to one or more operational knowledge records with exact source evidence.,
84,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-BUS-OP201-001,Mapped to one or more operational knowledge records with exact source evidence.,
85,"Indirect, residential, and business release",KNOWLEDGE_MAPPED,KNO-DEL-BUS-OP201-001,Mapped to one or more operational knowledge records with exact source evidence.,
86,International pickup documents,KNOWLEDGE_MAPPED,KNO-PUP-INTERNATIONAL-DOCS-001,Mapped to one or more operational knowledge records with exact source evidence.,
87,International pickup documents,KNOWLEDGE_MAPPED,KNO-PUP-INTERNATIONAL-DOCS-001,Mapped to one or more operational knowledge records with exact source evidence.,
88,International pickup documents,KNOWLEDGE_MAPPED,KNO-PUP-INTERNATIONAL-DOCS-001,Mapped to one or more operational knowledge records with exact source evidence.,
