source_id,title,page,page_count,section_or_subject,coverage_disposition,knowledge_ids,reference_record_count,coverage_basis,required_follow_up
SRC-GDRIVE-FILE-0001,Customer Experience Quick Reference MGB-119,1,2,"Signature, release, package care, scanning, and time-definite expectations",KNOWLEDGE_MAPPED,KNO-DEL-BUS-OP201-001;KNO-DEL-CLASSIFICATION-001;KNO-DEL-PLACEMENT-HAZARD-001;KNO-DEL-PPOD-001;KNO-DEL-PREMIUM-WINDOW-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SCAN-INTEGRITY-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0001,Customer Experience Quick Reference MGB-119,2,2,Security and delivery/pickup status-code quick reference,OLDER_STATUS_REFERENCE_PARTIALLY_MODELED,KNO-SEC-ROUTE-001,0,Current vehicle/package security standards are mapped to operational knowledge. The same page's quick-reference code tables remain bounded by the legacy crosswalk and current OP-117/OP-324/OP-321 source gates; no procedure is inferred from code labels.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,1,16,"Authority, confidentiality, and controlling-agreement notice",GOVERNING_FRONT_MATTER,,0,"Authority, confidentiality, and ISP Agreement precedence; not a standalone driver procedure.",
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,2,16,Table of contents,TABLE_OF_CONTENTS,,0,Navigation/front matter only.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,3,16,Customer-experience and agreement-obligation overview,PRESENTATION_CONTEXT,,0,High-level customer-experience and agreement-obligation context; specific operational rules are mapped on later pages.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,4,16,"Pickup flow, packaging, escalation, and pickup-service types",KNOWLEDGE_MAPPED,KNO-PUP-SCAN-INTEGRITY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,5,16,"Pickup flow, packaging, escalation, and pickup-service types",KNOWLEDGE_MAPPED,KNO-PUP-SERVICE-TYPES-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,6,16,"Delivery classification, attempt expectations, package care, and appearance",KNOWLEDGE_MAPPED,KNO-DEL-ATTEMPT-LIMIT-001;KNO-DEL-CLASSIFICATION-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,7,16,"Delivery classification, attempt expectations, package care, and appearance",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,8,16,"Delivery classification, attempt expectations, package care, and appearance",KNOWLEDGE_MAPPED,KNO-CX-APPEARANCE-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,9,16,"Tracking events, scan integrity, and delivery-status reference",KNOWLEDGE_MAPPED,KNO-DEL-SCAN-INTEGRITY-001;KNO-PUP-SCAN-INTEGRITY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,10,16,"Tracking events, scan integrity, and delivery-status reference",KNOWLEDGE_MAPPED,KNO-DEL-SCAN-INTEGRITY-001;KNO-PUP-SCAN-INTEGRITY-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,11,16,"Tracking events, scan integrity, and delivery-status reference",OLDER_STATUS_REFERENCE_PARTIALLY_MODELED,,1,Older OP-119 status table; code 030 is preserved as potentially outdated and the newer OP-117/current OP-324 obligations remain controlling.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,12,16,"Signature, alcohol, release, PPOD, indirect, premium, and security",KNOWLEDGE_MAPPED,KNO-DEL-ALCOHOL-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,13,16,"Signature, alcohol, release, PPOD, indirect, premium, and security",KNOWLEDGE_MAPPED,KNO-DEL-ALCOHOL-001;KNO-DEL-SIG-ASR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001;KNO-DEL-TOBACCO-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,14,16,"Signature, alcohol, release, PPOD, indirect, premium, and security",KNOWLEDGE_MAPPED,KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,15,16,"Signature, alcohol, release, PPOD, indirect, premium, and security",KNOWLEDGE_MAPPED,KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ISR-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0002,Customer Experience On the Road Reference Guide OP-119,16,16,"Recording, media, and publication restrictions",KNOWLEDGE_MAPPED,KNO-COMMS-MEDIA-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,1,12,"Purpose, agenda, and customer-feedback context",PRESENTATION_CONTEXT,,0,Purpose/agenda/customer-feedback context; no standalone procedure.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,2,12,"Purpose, agenda, and customer-feedback context",PRESENTATION_CONTEXT,,0,Customer-feedback context; no standalone procedure.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,3,12,"Purpose, agenda, and customer-feedback context",PRESENTATION_CONTEXT,,0,Customer-feedback problem framing; no standalone procedure.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,4,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,5,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,6,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,7,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
SRC-GDRIVE-FILE-0004,Focus on Package Placement,8,12,"Placement, access, package size, PPOD, and scan integrity",KNOWLEDGE_MAPPED,KNO-DEL-PLACEMENT-HAZARD-001,0,Mapped to one or more operational knowledge records with exact source evidence.,
