source_id,locator,knowledge_id,supported_scope,reviewed_at
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-BUS-OP201-001,Commercial signature expectation and OP-201 waiver condition,2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-PLACEMENT-HAZARD-001,"Current release eligibility, placement, handling, mailbox, and tracking expectations",2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-PPOD-001,Corroborates accurate package-location photography at the point of delivery without defining complete applicability or privacy rules,2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-PREMIUM-WINDOW-001,"Actual-location/time scanning, safe-late delivery, and exact-label same-day second attempts",2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-SAFEPLACE-001,"Current residential-release eligibility, secure placement, signature exclusion, and mailbox prohibition",2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-SCAN-INTEGRITY-001,Point-of-service real-time scanning expectations,2026-08-08
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-SIG-ASR-001,"Defines current ASR age, ID, and in-person signature conditions",2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-SIG-DSR-001,DSR in-person signature at delivery address,2026-08-08
SRC-GDRIVE-FILE-0001,MGB-119 page 1,KNO-DEL-SIG-ISR-001,"Defines current ISR in-person, neighboring-address, and signed-door-tag signature sources",2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 1 — inaccurate commercial-as-residential designation,KNO-DEL-CLASSIFICATION-001,Current inaccurate-designation consequence,2026-08-09
SRC-GDRIVE-FILE-0001,MGB-119 page 2 — Security Standards of Service,KNO-SEC-ROUTE-001,"Vehicle/package security and between-stop lock, bulkhead, window, and key controls",2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 10,KNO-PUP-SCAN-INTEGRITY-001,Customer-location barcode scanning and inaccurate off-location or wrong-status practices,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 12,KNO-DEL-ALCOHOL-001,ASR age ID signature manual-entry alcohol-label intoxication and prohibited-release requirements,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 12,KNO-DEL-SIG-ASR-001,"Defines ASR age, ID scan/manual-entry conditions, no release, and ID-refusal return",2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 13,KNO-DEL-ALCOHOL-001,Unsuccessful-signature delivery notice do-not-leave requirement and alcohol release-method table,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 13,KNO-DEL-SIG-ASR-001,"Defines the no-signature do-not-leave branch, central receiving, and prohibited release methods",2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 13,KNO-DEL-TOBACCO-001,Limited preauthorized commercial exception candidate,2026-08-08
SRC-GDRIVE-FILE-0002,OP-119 page 14,KNO-DEL-SAFEPLACE-001,"Driver-release placement, door-tag, and photo expectations",2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 15,KNO-DEL-SAFEPLACE-001,Driver-release exclusions and indirect-delivery documentation,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 16,KNO-COMMS-MEDIA-001,"Recording, media inquiry, brand, and public-comment rules",2026-08-08
SRC-GDRIVE-FILE-0002,OP-119 page 4,KNO-PUP-SCAN-INTEGRITY-001,Pickup-time and pickup-location scanning plus accurate scanning and status-code expectations,2026-08-09
SRC-GDRIVE-FILE-0002,OP-119 page 5,KNO-PUP-SERVICE-TYPES-001,"Defines the seven pickup-service categories, abbreviations, descriptions, timing context, and special notes.",2026-08-09
