backlog_id,priority,source_identifier,title_or_description,origin_source_ids,affected_targets,affected_knowledge_ids,affected_taxonomy_ids,direct_gap_queue_resource_ids,contextual_resolution_queue_resource_ids,all_linked_queue_resource_ids,queue_link_class,acquisition_status,review_status,coverage_basis,required_follow_up
REFSRC-001,P0_BLOCKS_APPROVED_GUIDANCE,,Executed ISP Agreement and controlling schedules/attachments,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0009,KNO-DEL-BUS-OP201-001,KNO-DEL-BUS-OP201-001,TAX-DELIVERY;TAX-RELEASE,,MGB-NAV-0068,MGB-NAV-0068,CONTEXTUAL_RESOLUTION_LINK_ONLY,NOT_ACQUIRED,NOT_YET_REVIEWED,"Non-verified record resolution rows name queued context pages, but no queue resource is explicitly linked to this source gap.",Review the contextual resolution pages and separately locate the exact missing source; a record dependency is not proof of source availability.
REFSRC-002,P0_BLOCKS_APPROVED_GUIDANCE,OP-324,Service Measurement Status Codes Reference Card,SRC-GDRIVE-FILE-0014,knowledge/status_codes.jsonl,,,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-003,P0_BLOCKS_APPROVED_GUIDANCE,OP-321,Pickup Reason Codes Card,SRC-GDRIVE-FILE-0014,knowledge/pickup_reason_codes.jsonl,,,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-004,P0_BLOCKS_APPROVED_GUIDANCE,OP-207,Current Delivery Record instructions and form,SRC-GDRIVE-FILE-0014,KNO-DEL-HAL-DELIVERY-001;KNO-DOC-HANDSHEET-001;TAX-HANDSHET,KNO-DEL-HAL-DELIVERY-001;KNO-DOC-HANDSHEET-001,TAX-DELIVERY;TAX-FORGE;TAX-HAL;TAX-HANDSHET;TAX-STATUS,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-005,P0_BLOCKS_APPROVED_GUIDANCE,OP-207Res,Current Delivery Manifest Record instructions and form,SRC-GDRIVE-FILE-0014,KNO-DEL-HAL-DELIVERY-001;KNO-DOC-HANDSHEET-001;TAX-HANDSHET,KNO-DEL-HAL-DELIVERY-001;KNO-DOC-HANDSHEET-001,TAX-DELIVERY;TAX-FORGE;TAX-HAL;TAX-HANDSHET;TAX-STATUS,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-006,P0_BLOCKS_APPROVED_GUIDANCE,HZ-035,Hazardous Materials Reminder Card,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001,TAX-DOT;TAX-HAZMAT;TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-007,P0_BLOCKS_APPROVED_GUIDANCE,SF-920P,Current Safety Information Guide,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002;SRC-MGB-PAGE-0003,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001,TAX-DOT;TAX-HAZMAT;TAX-PICKUP,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-008,P0_BLOCKS_APPROVED_GUIDANCE,,Check-Out/Check-In for Relay Operations instructions,SRC-GDRIVE-FILE-0014,TAX-RELAY,,TAX-RELAY,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
REFSRC-009,P0_BLOCKS_APPROVED_GUIDANCE,,Current detailed vehicle-security and anti-theft standards,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0007;SRC-MGB-PAGE-0016,KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001,KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001,TAX-DOT;TAX-INCIDENT;TAX-SECURITY;TAX-VEHICLE-SAFETY,MGB-NAV-0047,MGB-NAV-0068,MGB-NAV-0047;MGB-NAV-0068,DIRECT_GAP_AND_CONTEXTUAL_RESOLUTION_LINKS,NOT_ACQUIRED,NOT_YET_REVIEWED,The queue has an explicit related-gap link and record-resolution dependencies. Neither link proves that a page contains the missing source.,"Acquire and fully review the direct gap-linked resources, inspect the contextual resolution pages, and locate the exact missing source before reconciling this backlog row."
REFSRC-010,P1_COMPLETENESS,SF-034,Hazardous-material reminder card,SRC-MGB-PAGE-0002,TAX-HAZMAT,,TAX-HAZMAT,,,,NO_CURRENT_AUTHENTICATED_QUEUE_LINK,NOT_ACQUIRED,NOT_YET_REVIEWED,No acquisition-queue row directly names this gap and no linked non-verified resolution row supplies a contextual queue target.,"Locate the exact source through the authorized corpus or authenticated portal, then add an evidence-backed acquisition target without inferring from its title."
