backlog_id,source_identifier,title_or_description,origin_source_ids,priority,acquisition_status,review_status,reason_required,affected_targets
REFSRC-001,,Executed ISP Agreement and controlling schedules/attachments,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0009,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Agreement controls conflicts and negotiated obligations; sample agreement cannot substitute.,KNO-DEL-BUS-OP201-001
REFSRC-002,OP-324,Service Measurement Status Codes Reference Card,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Required for complete current delivery-status definitions and conditions.,knowledge/status_codes.jsonl
REFSRC-003,OP-321,Pickup Reason Codes Card,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Required for complete current pickup-reason definitions and conditions.,knowledge/pickup_reason_codes.jsonl
REFSRC-004,OP-207,Current Delivery Record instructions and form,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Required for current manual delivery sheeting and outage fields.,KNO-DEL-HAL-DELIVERY-001;KNO-DOC-HANDSHEET-001;TAX-HANDSHET
REFSRC-005,OP-207Res,Current Delivery Manifest Record instructions and form,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Required for current manual manifest sheeting and cover/flap instructions.,KNO-DEL-HAL-DELIVERY-001;KNO-DOC-HANDSHEET-001;TAX-HANDSHET
REFSRC-006,HZ-035,Hazardous Materials Reminder Card,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,"Required for current hazmat acceptance, loading, paperwork, and exception corroboration.",KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001
REFSRC-007,SF-920P,Current Safety Information Guide,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0002;SRC-MGB-PAGE-0003,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Current guide is hosted in MyBizAccount and is required for safety/hazmat completeness.,KNO-HAZ-ACCEPTANCE-001;KNO-HAZ-LOAD-PAPERS-001
REFSRC-008,,Check-Out/Check-In for Relay Operations instructions,SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Referenced relay procedure is absent; taxonomy retains a sourced coverage exception.,TAX-RELAY
REFSRC-009,,Current detailed vehicle-security and anti-theft standards,SRC-GDRIVE-FILE-0014;SRC-MGB-PAGE-0007;SRC-MGB-PAGE-0016,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,Current pages reference more detailed equipment/security materials not yet acquired.,KNO-SEC-ROUTE-001;KNO-SEC-STOLEN-VEHICLE-001
REFSRC-010,SF-034,Hazardous-material reminder card,SRC-MGB-PAGE-0002,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Linked current portal page identifies this as a separate reminder-card source.,TAX-HAZMAT
REFSRC-011,,Applicable current state CDL manuals and cited regulations,SRC-MGB-PAGE-0002;SRC-GDRIVE-FILE-0014,P0_BLOCKS_APPROVED_GUIDANCE,NOT_ACQUIRED,NOT_YET_REVIEWED,High-stakes legal/compliance rules require current jurisdiction-specific controlling material.,KNO-FORGE-LOGIN-WARNING-001;KNO-HOS-DUTY-LIMITS-001;KNO-HOS-RENTAL-ELD-001;KNO-HOS-SHORT-ADVERSE-001;TAX-DOT
REFSRC-012,OP-900LL/LG,Current hazmat tags and use instructions,SRC-MGB-PAGE-0002;SRC-GDRIVE-FILE-0014,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,"Portal/OP-117 describe tag-based contingencies, but current artifacts/instructions are separate sources.",KNO-HAZ-MANIFEST-001
REFSRC-013,OP-901/OP-902,Current hazmat envelope artifacts and instructions,SRC-MGB-PAGE-0002;SRC-GDRIVE-FILE-0014,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Required to verify exact outage/manifest document handling.,KNO-HAZ-MANIFEST-001
REFSRC-014,OP-950,Current dangerous-goods certification artifact and instructions,SRC-MGB-PAGE-0002,P1_COMPLETENESS,NOT_ACQUIRED,NOT_YET_REVIEWED,Portal requires OP-950 or approved certification; exact current artifact remains unacquired.,KNO-HAZ-ACCEPTANCE-001
