code,label,translation_status,knowledge_ids,assessment,required_follow_up
001,Increased Security - No Delivery,OPERATIONAL_RECORD_LINKED,KNO-DEL-SECURITY-NODELIVERY-001,"OP-117 establishes no delivery, code 001, notation, and station return.",
002,Incorrect Recipient Address,OPERATIONAL_RECORD_LINKED,KNO-FORGE-EDIT-ADDRESS-001,"The code condition and entered-ZIP recovery are modeled; label-address correction authority remains human review.",Acquire controlling address-correction authority.
003,Unable to Locate - Recipient Address,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 defines the condition but not the complete search, documentation, attempt, and return sequence.",Acquire the current unable-to-locate operational procedure.
004,Non-residential Recipient Not In,OPERATIONAL_RECORD_SET_LINKED,KNO-DEL-BUS-OP201-001;KNO-DEL-PPOD-001;KNO-DEL-NOTATION-001,"Business release authority, attempt photo, and notation are modeled; the no-OP-201 branch remains conflicted.",Resolve the OP-201 conflict.
006,Package Refused by Recipient,OPERATIONAL_RECORD_LINKED,KNO-DEL-REFUSED-001,"Code 006 is modeled; the complete ordinary post-code disposition remains human review.",Acquire the complete ordinary-refusal procedure.
007,"Residential Recipient Not In, Unable to Indirect/Driver Release",OPERATIONAL_RECORD_SET_LINKED,KNO-DEL-APT-001;KNO-DEL-SAFEPLACE-001;KNO-DEL-SIG-ASR-001;KNO-DEL-PPOD-001;KNO-DEL-NOTATION-001,"The residential no-release conditions, safe-place/indirect branches, attempt photo, and notation are modeled.",
009,Delivery to a Business,AUTO_APPLIED_REFERENCE_ONLY,KNO-DEL-CLASSIFICATION-001,"OP-117 says FORGE auto-applies this result for a Home Delivery package delivered to a business; classification remains operationally relevant.",Do not instruct the driver to choose an auto-applied code.
010,Inspection Required,OPERATIONAL_RECORD_LINKED,KNO-DEL-DAMAGE-INSPECTION-001,"OP-117 establishes code 010, notation, and station inspection return; hazmat is separated.",
011,Non-residential Recipient Closed on Weekend,OPERATIONAL_RECORD_SET_LINKED,KNO-DEL-PPOD-001;KNO-DEL-NOTATION-001;KNO-FORGE-BUSINESS-CLOSURE-MSG-001,"The weekend-only code condition, attempt photo, notation, and closure-message obligations are modeled as interacting records.",
012,Package Sorted to Wrong Route,DEFINITION_ONLY_WORKFLOW_GAP,KNO-FORGE-MANIFEST-PREVIEW-001,"OP-117 defines an after-dispatch misload condition; Manifest Preview is predispatch and does not establish on-route custody or transfer authority.",Acquire the current after-dispatch misload procedure.
013,Residential Delivery with Signature,AUTO_APPLIED_REFERENCE_ONLY,KNO-DEL-SIG-ISR-001;KNO-DEL-SIG-DSR-001;KNO-DEL-SIG-ASR-001,"OP-117 says FORGE auto-applies this result; signature-service procedures determine the driver action.",Do not instruct the driver to choose an auto-applied code.
014,Residence Driver Release,OPERATIONAL_RECORD_SET_LINKED,KNO-DEL-SAFEPLACE-001;KNO-DEL-PPOD-001;KNO-DEL-CLASSIFICATION-001,"Residential release eligibility, location selection, and PPOD are modeled.",
015,Holding Package,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 defines the recipient-requested hold condition but not authorization, documentation, custody, or station handoff.",Acquire the current hold-at-station request procedure.
016,"Package on Manifest, Not on Van",DEFINITION_ONLY_WORKFLOW_GAP,KNO-FORGE-MANIFEST-PREVIEW-001,"The code condition is defined; the reviewed predispatch preview does not establish the complete after-dispatch missing-package response.",Acquire the current manifest-not-on-van procedure.
017,Misdelivered Package Picked Up,OPERATIONAL_RECORD_LINKED,KNO-DEL-MISDELIVERY-RECOVERY-001,"Recovery and code 017 are modeled.",
018,Misdelivered Package Delivered to Correct Recipient,OPERATIONAL_RECORD_LINKED,KNO-DEL-MISDELIVERY-RECOVERY-001,"Same-day redelivery and code 018 are modeled.",
019,Indirect Delivery,OPERATIONAL_RECORD_SET_LINKED,KNO-DEL-SIG-ISR-001;KNO-DEL-APT-001;KNO-DEL-DOORTAG-001,"Eligibility, prohibited service types, alternate-address signature, and door-tag documentation are modeled; FORGE auto-applies the code.",
021,Business Driver Release,OPERATIONAL_RECORD_SET_LINKED,KNO-DEL-BUS-OP201-001;KNO-DEL-SHIPPER-RELEASE-001,"OP-201 and shipper-authorization branches are modeled; no-OP-201 authority remains conflicted.",Resolve the OP-201 conflict before ordinary release guidance.
024,Call Tag Not Ready,OPERATIONAL_RECORD_LINKED,KNO-PUP-CALLTAG-NOTREADY-001,"The complete code 024 signature, notation, and physical-tag return sequence is modeled.",
025,Tendered to U.S. Postal Service,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 defines the outcome but not authorization, custody transfer, scan sequence, or documentation.",Acquire the current USPS tender procedure.
026,Return-to-Shipper Package Delivered to Shipper,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 defines the result but not the complete RTS delivery/identity/documentation procedure.",Acquire the current RTS-to-shipper procedure.
027,Package Not Delivered - No Attempt,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 defines the condition but not who may authorize no attempt, required reason, notation, custody, or follow-up.",Acquire the current no-attempt authorization and documentation procedure.
028,Tendered to Interline Carrier,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 defines the result but not carrier eligibility, custody transfer, scan, or documentation.",Acquire the current interline tender procedure.
029,Call Tag Package Pickup,OPERATIONAL_RECORD_LINKED,KNO-PUP-CALLTAG-SUCCESS-001,"The complete successful call-tag code, label, receipt-tab, and barcode-covering sequence is modeled.",
034,Inventory/Request Future Delivery,DEFINITION_ONLY_WORKFLOW_GAP,,"OP-117 defines examples but not authorization, future-date capture, notation, custody, or reattempt handling.",Acquire the current inventory/future-delivery procedure.
079,Enroute Package Transfer,OPERATIONAL_RECORD_LINKED,KNO-FORGE-BULK-TRANSFER-001,"The FORGE transfer flow is modeled with human review for authorization and physical custody.",Acquire current transfer authorization/custody rules.
