archive_id,parent_source_id,link_order,archive_label,year_month,url,discovery_locator,access_status,review_status,relevance_status,acquisition_status,required_action
MGB-ARCHIVE-0001,SRC-MGB-PAGE-0023,26,August 2026,2026-08,https://www.mygroundbiz.com/news?sort=Date&archive=2026-08&if=True,Recent Customer Alerts link inventory row 27 (link order 26),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0002,SRC-MGB-PAGE-0023,27,July 2026,2026-07,https://www.mygroundbiz.com/news?sort=Date&archive=2026-07&if=True,Recent Customer Alerts link inventory row 28 (link order 27),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0003,SRC-MGB-PAGE-0023,28,June 2026,2026-06,https://www.mygroundbiz.com/news?sort=Date&archive=2026-06&if=True,Recent Customer Alerts link inventory row 29 (link order 28),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0004,SRC-MGB-PAGE-0023,29,May 2026,2026-05,https://www.mygroundbiz.com/news?sort=Date&archive=2026-05&if=True,Recent Customer Alerts link inventory row 30 (link order 29),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0005,SRC-MGB-PAGE-0023,30,April 2026,2026-04,https://www.mygroundbiz.com/news?sort=Date&archive=2026-04&if=True,Recent Customer Alerts link inventory row 31 (link order 30),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0006,SRC-MGB-PAGE-0023,31,March 2026,2026-03,https://www.mygroundbiz.com/news?sort=Date&archive=2026-03&if=True,Recent Customer Alerts link inventory row 32 (link order 31),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0007,SRC-MGB-PAGE-0023,32,February 2026,2026-02,https://www.mygroundbiz.com/news?sort=Date&archive=2026-02&if=True,Recent Customer Alerts link inventory row 33 (link order 32),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0008,SRC-MGB-PAGE-0023,33,January 2026,2026-01,https://www.mygroundbiz.com/news?sort=Date&archive=2026-01&if=True,Recent Customer Alerts link inventory row 34 (link order 33),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0009,SRC-MGB-PAGE-0023,34,December 2025,2025-12,https://www.mygroundbiz.com/news?sort=Date&archive=2025-12&if=True,Recent Customer Alerts link inventory row 35 (link order 34),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0010,SRC-MGB-PAGE-0023,35,November 2025,2025-11,https://www.mygroundbiz.com/news?sort=Date&archive=2025-11&if=True,Recent Customer Alerts link inventory row 36 (link order 35),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0011,SRC-MGB-PAGE-0023,36,October 2025,2025-10,https://www.mygroundbiz.com/news?sort=Date&archive=2025-10&if=True,Recent Customer Alerts link inventory row 37 (link order 36),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0012,SRC-MGB-PAGE-0023,37,September 2025,2025-09,https://www.mygroundbiz.com/news?sort=Date&archive=2025-09&if=True,Recent Customer Alerts link inventory row 38 (link order 37),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0013,SRC-MGB-PAGE-0023,38,August 2025,2025-08,https://www.mygroundbiz.com/news?sort=Date&archive=2025-08&if=True,Recent Customer Alerts link inventory row 39 (link order 38),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0014,SRC-MGB-PAGE-0023,39,July 2025,2025-07,https://www.mygroundbiz.com/news?sort=Date&archive=2025-07&if=True,Recent Customer Alerts link inventory row 40 (link order 39),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0015,SRC-MGB-PAGE-0023,40,June 2025,2025-06,https://www.mygroundbiz.com/news?sort=Date&archive=2025-06&if=True,Recent Customer Alerts link inventory row 41 (link order 40),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0016,SRC-MGB-PAGE-0023,41,May 2025,2025-05,https://www.mygroundbiz.com/news?sort=Date&archive=2025-05&if=True,Recent Customer Alerts link inventory row 42 (link order 41),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
MGB-ARCHIVE-0017,SRC-MGB-PAGE-0023,42,April 2025,2025-04,https://www.mygroundbiz.com/news?sort=Date&archive=2025-04&if=True,Recent Customer Alerts link inventory row 43 (link order 42),AUTHENTICATED_LINK_DISCOVERED,NOT_YET_REVIEWED,POTENTIALLY_RELEVANT,NOT_ACQUIRED,Open while authenticated; durably capture the complete archive page; inventory every article and pagination link; assess each article under the broad driver-operational inclusion standard; do not treat archive or article titles as evidence.
