canonical_library_item_id,also_listed_as,title,url,posted_date,operation_scope,backlog_status,source_inventory_status,next_action
MGB-SAFETY-TOPIC-0003,,Changing lanes,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/CHANGING-LANESVSM072026ENGFINAL.ashx,07/21/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0004,,Aggressive driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/AGGRESSIVE-DRIVINGVSM071326ENG.ashx,07/13/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0005,,Speed | Ops Safe Driver Week,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SPEEDVSM070626-FINAL.ashx,07/06/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0006,,Summer holidays and traffic,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Summer-and-Holiday-Traffic-VSM-062926ENG.ashx,06/29/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0007,,Summer adverse weather,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SUMMER-ADVERSE-WEATHERVSM62226ENG.ashx,06/22/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0008,,Work zone awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Work-Zone-AwarenessVSM061526ENFINAL.ashx,06/15/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0009,MGB-SAFETY-TOPIC-0069,Cognitive distraction,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/COGNITIVE-DISTRACTION-VSM-060925ENG.ashx,06/08/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0010,,Summer and seat belts,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Summer-SafetySeat-BeltsVSM060126FINAL.ashx,06/01/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0011,,Fog,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/FOGVSM52526ENG-FINAL.ashx,05/26/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0012,,Motorcycle awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/MOTORCYCLE-AWARENESSENGVSM051826FINAL.ashx,05/19/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0013,,Road Rage De-escalation,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Road-Rage-DeEscalationSafetyTopic51126ENGFINAL.ashx,05/08/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0014,,CVSA international roadcheck,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/CVSA-Intl-Roadcheck-050426VSMENGFINAL.ashx,05/04/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0015,,Rear-end collisions,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Rear-End-Collisions-4_27_26_EN.ashx,04/27/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0016,,Backing,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/BACKING-PDVSM042026EN.ashx,04/20/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0017,,Wildlife Awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/WILDLIFE-AWARENESSVSM042026EN.ashx,04/20/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0018,,Work zone awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Work-Zone-AwarenessVSM041326EN.ashx,04/14/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0020,,Rollovers,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/ROLLOVERSLHVSM040626EN.ashx,04/06/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0021,,Distracted driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Distracted-DrivingVSM33026ENG.ashx,03/31/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0022,,Changing lanes,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/CHANGING-LANESVSM032326ENGFINAL.ashx,03/23/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0023,,Seat belts,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SEAT-BELTSVSM03162026ENG.ashx,03/17/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0024,,Driving drowsy,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/DROWSY-DRIVINGVSM392026ENG.ashx,03/09/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0025,,Driving in fog,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/FOGVSM3226ENG-FINAL.ashx,03/03/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0026,,Speed,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SPEEDVSM22326ENG.ashx,02/23/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0027,,Railroad intersections,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/PD-RAILROAD-SAFETY-INTERSECTIONSVSM022326ENG.ashx,02/23/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0028,,Human trafficking awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Human-Trafficking-VSM21626ENG.ashx,02/16/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0029,,Aggressive driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/AGGRESSIVE-DRIVINGVSM020926ENG.ashx,02/09/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0030,,Work Zone Awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Work-Zone-AwarenessVSM020826EN.ashx,02/02/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0031,,Large packages,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Large-PackagesPDVSM012626ENGFINAL.ashx,01/27/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0032,,Vehicle maintenance,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/LH-VEHICLE-MAINTENANCE-USCANVSM12626-FINAL.ashx,01/27/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0033,MGB-SAFETY-TOPIC-0046,Distracted driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Distracted-DrivingVSM11926ENG.ashx,01/19/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0034,,Human trafficking,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Human-Trafficking-VSM11226ENG.ashx,01/12/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0035,,Adverse weather - winter,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/AdverseWeatherVSM152026EN.ashx,01/06/2026,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0036,MGB-SAFETY-TOPIC-0053,Sideswipe collisions,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SIDESWIPEVSM122925-ENG.ashx,12/29/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0037,,Holiday Traffic - US,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/HOLIDAY-TRAFFICVSM122225-ENG-US.ashx,12/22/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0038,,Holiday Traffic - Canada,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/HOLIDAY-TRAFFICVSM122225-ENG-CANADA.ashx,12/22/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0039,,Driveway safety,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/PD-Driveway-Safety-12_15_25-EN.ashx,12/15/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0040,,Rollovers,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/ROLLOVERSLHVSM121525EN.ashx,12/15/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0041,,Wildlife awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/WILDLIFE-AWARENESSVSM12825EN.ashx,12/08/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0042,,Adverse weather,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/ADVERSE-WEATHERVSM1212025ENG.ashx,12/02/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0043,,Backing,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/BACKING-PDVSM112425EN.ashx,11/24/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0044,,Excessive speed,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SPEEDVSM111725ENG-1.ashx,11/18/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0045,,Seat belts save lives,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/SEAT-BELTSVSM11102025ENG.ashx,11/10/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0047,,Rollovers,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/ROLLOVERSLHVSM101625EN.ashx,10/20/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0048,,Dog bite prevention,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Dog-Bite-Prevention-VSM-102025-EN.ashx,10/20/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0049,,Wildlife awareness,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/WILDLIFE-AWARENESSVSM101325EN.ashx,10/13/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0050,,Driveway safety,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/PD-Driveway-Safety-10_6_25-English.ashx,10/06/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0051,,Rear-end collisions,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Rear-End-Collisions-10_6_25-English.ashx,10/06/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0052,,Night Driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/Night-Driving_09_29_25_VSM_EN.ashx,09/29/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0054,,Fixed Object Collision,https://www.mygroundbiz.com/sitecore/shell/-/media/FXGMGB/docs/Safety/FY26-VSM/FixedObject-CollisionPDVSM091525ENG.ashx,09/15/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
MGB-SAFETY-TOPIC-0055,,Drowsy Driving,https://www.mygroundbiz.com/-/media/FXGMGB/docs/Safety/FY26-VSM/DROWSY-DRIVINGVSM091525ENG.ashx,09/15/2025,PENDING_CLASSIFICATION,OPEN,NOT_CREATED,DOWNLOAD_ARCHIVE_REVIEW_ALL_PAGES_AND_INVENTORY_REFERENCES
